term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37
ز.ي..د,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.246315789473684,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.0762264150943396,0.000655737704918033
كان,0.0133333333333333,0.0357894736842105,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.226666666666667,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.246315789473684,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
مات,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.254084507042253,0.00114285714285714,0.000754716981132075,0.000655737704918033
ي.ن,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.269253731343284,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
ٱ.ه.ت.ز.,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.188705882352941,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
إ.س.حاق,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.344,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.0708771929824561,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
ب.,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.188705882352941,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
ش.ه.د..,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.149850746268657,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.139310344827586,0.000701754385964912,0.0295652173913043,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
يا,0.0133333333333333,0.0357894736842105,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.165176470588235,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
آل,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.206153846153846,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.0990163934426229
