term,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
city,1.56644057707671e-05,0.0447071152275424,1.96699384330927e-05,0.0040853529517082,2.1464294146687e-05,0.00640270304802737,2.65329406458118e-05,0.0431059647757128,0.00853826592223217,2.77092742941062e-05,2.17679966912645e-05,0.00440895830134462,1.67816207689339e-05,0.0133127159390176,0.0339753230162195,2.94646277144288e-05,2.50695680513425e-05
people,0.0219458324848447,1.54109325155265e-05,0.0265740868231082,0.0146649522290402,0.00860718195282148,1.41966808160252e-05,0.00267982700522699,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,0.00764056683863384,2.19351159270877e-05,0.00756851096678917,0.0314334726618184,0.0234641569236242,2.94646277144288e-05,0.0388829000476322
february,0.0305612556587666,1.54109325155265e-05,0.0059206514683609,0.00571298360975927,0.0214857584408337,1.41966808160252e-05,2.65329406458118e-05,0.000708933957936585,0.0177726633422836,0.0221951287095791,0.0119941661768867,0.00660246989405339,0.00169494369766232,0.0145207663872043,1.61710247578389e-05,2.94646277144288e-05,0.0276015944245281
buildings,0.0133304093109228,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.0716023297515951,1.42067652616176e-05,0.0360497658566322,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00163327350054173,0.00592239017060019,2.50695680513425e-05
september,0.0133304093109228,1.54109325155265e-05,0.0147721237632526,1.62763065805108e-05,0.0129000407821589,1.41966808160252e-05,0.00665976810209876,0.00279403383422066,0.0128002955007174,2.77092742941062e-05,0.00872896667319707,2.19351159270877e-05,1.67816207689339e-05,0.0121046654908309,1.61710247578389e-05,2.94646277144288e-05,0.0225876808142596
insurance,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.0721777509271846,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
damage,0.0062814267140776,1.54109325155265e-05,1.96699384330927e-05,0.0138511369000146,0.00646075253815278,1.41966808160252e-05,0.00931306216667993,0.00557416700259942,0.0128002955007174,2.77092742941062e-05,0.00546376716950739,2.19351159270877e-05,1.67816207689339e-05,0.0048563628017106,0.00891023464156924,2.94646277144288e-05,2.50695680513425e-05
council,1.56644057707671e-05,0.0377721955955555,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00696423358678881,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.00589034888989579,0.0145207663872043,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
red,0.0101975281567694,0.00309759743562083,1.96699384330927e-05,0.0472175653900617,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
aftershocks,0.0195961716192296,1.54109325155265e-05,0.0334585652746907,1.62763065805108e-05,0.00216789370881539,1.41966808160252e-05,2.65329406458118e-05,0.00418410041841004,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
