identifier,TopicValue2,Topic,TopicValue,Month,Publisher,Author,Title,description,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
DCDL-0015511,3.77562862669246,aftershocks_people_house_woman_september_couple_disaster,0.775628626692456,2010-09,Marlborough Express (Newspaper),"Bromhead, Peter","The reminder... Emergency survival kit. "First aid kit... water... canned food... torch..." 6 September 2010","The Christchurch earthquake that struck on 4 September 2010 reminds people in places other than Christchurch to check their emergency survival kits The cartoon shows a couple ticking off the contents of their box",0.00193423597678917,0.00193423597678917,0.775628626692456,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.195357833655706,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917
DCDL-0015512,17.6340694006309,people_february_september_jersey_victims_replies_zealand,0.634069400630915,2010-09,Marlborough Express (Newspaper),"Bromhead, Peter",""Hello?" "It's your aunt in London..." "How's life in the South Island, did you ask?" "Have you ever been in a war zone?" 7 September 2010","In four frames a man chats to an aunt in London who has phoned to see how they are The man asks her if she has ever been in a war zone Refers to the Christchurch earthquake of 4th September 2010",0.00315457413249211,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.634069400630915
DCDL-0015513,1.98909338786639,february_people_cathedral_aftershocks_rubble_buildings_september,0.989093387866394,2010-09,Dominion post (Newspaper),"Hodgson, Trace","Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010","A man with his arm around his wife and baby stands on a heap of rubble with a spade in his other hand In the background are the Christchurch Cathedral and several other badly damaged buildings and a signpost reading Christchurch lies on top of the rubble Text reads Buildings may fall but the Kiwi spirit and compassion for our neighbours will never be crushed There are two versions of the cartoon one in colour and one black and white Refers to the Christchurch earthquake of 4th September 2010",0.989093387866394,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375
DCDL-0015513A,1.98909338786639,february_people_cathedral_aftershocks_rubble_buildings_september,0.989093387866394,2010-09,Nelson mail (Newspaper),"Hodgson, Trace","Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010","A man with his arm around his wife and baby stands on a heap of rubble with a spade in his other hand In the background are the Christchurch Cathedral and several other badly damaged buildings and a signpost reading Christchurch lies on top of the rubble Text reads Buildings may fall but the Kiwi spirit and compassion for our neighbours will never be crushed There are two versions of the cartoon one in colour and one black and white Refers to the Christchurch earthquake of 4th September 2010",0.989093387866394,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375
DCDL-0015518,14.8201634877384,people_woman_newspaper_reading_comments_headline_february,0.82016348773842,2010-09,Waikato times (Newspaper),"Hawkey, Allan Charles","Canterbury. THE CLEANUP. 6 September 2010","A man stares at an enormous roadsign reading Cleanup that dwarfs a smaller one pointing to Canterbury Refers to the damage resulting from the Christchurch earthquake of 4th September 2010",0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.138964577656676,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.82016348773842,0.00272479564032698,0.00272479564032698,0.00272479564032698
DCDL-0015519,5.49262536873156,february_south_pike_river_zealand_island_news_september,0.492625368731563,2010-09,Waikato times (Newspaper),"Hawkey, Allan Charles",""What with the Canterbury earthquake and the flooding in the Lower North Island - I thought it wise to get away from it all" 7 September 2010","A man has climbed an active volcano and pitched a tent in order to get away from the Canterbury earthquake and the flooding in the lower North Island Refers to the Christchurch earthquake of 4th September 2010 as well as the heavy rain slips and flooding from Whanganui in the centre of the North Island down to the Rimutaka Hill Road North of Wellington",0.000983284169124877,0.000983284169124877,0.0993117010816126,0.000983284169124877,0.492625368731563,0.295968534906588,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.0501474926253687,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.0501474926253687
DCDL-0015522,1.97178130511464,february_people_cathedral_aftershocks_rubble_buildings_september,0.971781305114638,2010-09,Dominion post (Newspaper),"Scott, Thomas","CHRISTCHURCH. 7 September 2010","The cartoon shows the letters of the name Christchurch as blocks of stone that have collapsed into a pile of rubble on top is a single rose Refers to the Christchurch earthquake of Saturday 4th September 2010",0.971781305114638,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0015522A,1.97178130511464,february_people_cathedral_aftershocks_rubble_buildings_september,0.971781305114638,2010-09,Nelson mail (Newspaper),"Scott, Thomas","CHRISTCHURCH. 7 September 2010","The cartoon shows the letters of the name Christchurch as blocks of stone that have collapsed into a pile of rubble on top is a single rose Refers to the Christchurch earthquake of Saturday 4th September 2010",0.971781305114638,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0015528,9.67616191904048,john_key_labelled_cup_prime_february_rugby_world_representing,0.67616191904048,2010-09,Southland times (Newspaper),"Winter, Mark","SIZE-mic does matter. 7.1 on the richter scale. $2 billion on the WRECKter scale. 6 September 2010","A graph shows an earthquake registering 7 1 on the Richter scale and 2 billion on the Wreckter scale An arrow shoots upwards from the 2 billion anticipating that the cost will rise higher Text above reads SIZE mic does matter Refers to the Christchurch earthquake of Saturday 4th September 2010 and the cost of the damage",0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.67616191904048,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.301349325337331
DCDL-0015530,5.84756527875794,february_south_pike_river_zealand_island_news_september,0.847565278757939,2010-09,Southland times (Newspaper),"Winter, Mark",""Hey Phil... It's a 'Dear John' letter..." 8 September 2010","The Queen tells Prince Philip that she has received a Dear John letter from PM John Key and that it seems the earth has moved for him back in NZ Text above reads Keynote In the published version the queen says that John Key preferred to stay at home cos the earth moved A third version refers to the decision of the PM to remain in New Zealand because of the Christchurch earthquake instead of going on a trip to Europe with his wife during which they were to have stayed at the invitation of the Queen at Balmoral Castle in Scotland",0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.847565278757939,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.0359915314043754,0.000705716302046577,0.106563161609033,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577
DCDL-0015533,11.5349219391947,mayor_bob_parker_mp_local_february_special_anderton,0.534921939194741,2010-09,Northern advocate (Newspaper),"Hubbard, James","Out from under the woodwork... CANTERBURY. Looter. Looter. Looter. Politics. Politics. 6 September 2010","The cartoon shows rubble and ruined buildings after the Canterbury earthquake of 4th September 2010 Rats representing looters run over the buildings taking advantage as do cockroaches representing politics Refers to a certain amount of looting but also the high profiles during the aftermath of Mayor Bob Parker with local body elections only a few weeks away and PM John Key in particular",0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.32949876746097,0.124075595727198,0.534921939194741,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015539,1.64453961456103,february_people_cathedral_aftershocks_rubble_buildings_september,0.644539614561028,2010-09,Waikato times (Newspaper),"Hawkey, Allan Charles","THE HELPING HAND. [Canterbury earthquake]. 9 September 2010","Someone representing government neighbours firemen friends etc all of which are printed on a tshirt reaches down with a helping hand to Canterbury Refers to the Canterbury of 4th September 2010",0.644539614561028,0.00214132762312634,0.00214132762312634,0.21627408993576,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.109207708779443
DCDL-0015541,9.56326148078725,john_key_labelled_cup_prime_february_rugby_world_representing,0.563261480787254,2010-09,Marlborough Express (Newspaper),"Bromhead, Peter","WATER... One minute too much... The next, not enough... 8 September 2010","Text reads Water One minute too much The next not enough In the first frame a man is fed up with another downpour and in the second frame there is shown a plastic bottle of drinking water Refers to the amount of rain in recent times but also the need for bottled or boiled water In Canterbury after the earthquake of 4th September 2010 which caused major damage to sewage and water systems",0.000937207122774133,0.000937207122774133,0.422680412371134,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.563261480787254,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0015552,9.53086419753086,john_key_labelled_cup_prime_february_rugby_world_representing,0.530864197530864,2010-09,Southland times (Newspaper),"Winter, Mark","AFTERSHOCK$$$$$$$$$$ $2 Billion/ $4 Billion. [Canterbury earthquake]. 9 September 2010","Text reads AFTERSHOCK 2 billion 4 billion Refers to the estimated costs resulting from the Canterbury earthquake of 4th September 2010 The 2 is crossed out and the Treasury pen writes 4 in its place",0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.530864197530864,0.0017636684303351,0.0017636684303351,0.354497354497354,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.08994708994709
DCDL-0015558,4.63552479815456,red_zone_homes_people_areas_damage_central,0.635524798154556,2010-09,Northern advocate (Newspaper),"Clark, Laurence",""The mayor is promising to 'MOVE OUR DISTRICT FORWARD'" "With all the NEW JOBS on offer in Christchurch maybe he should move our district down there?" 11 September 2010","Shows a couple in their car driving along a road with election billboards The mancomments that the mayor is promising to move our district forward and his partner suggests that with all the new jobs down in Christchurch maybe he should move the district down there Probably refers to mayoral hopefuls in the 9 October local body election in Whangarei",0.00115340253748558,0.00115340253748558,0.00115340253748558,0.635524798154556,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.34717416378316,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015561,3.51640112464855,aftershocks_people_house_woman_september_couple_disaster,0.516401124648547,2010-09,Waikato times (Newspaper),"Hawkey, Allan Charles",""In the event of a natural disaster - Harold wants enough provisions to see us through to the Rugby World Cup" 13 September 2010","A woman chats over her garden wall to a passerby who is curious about a huge container like structure labeled emergency kit that has been built beside the house She says that in the event of a natural disaster Harold wants to ensure that they will have enough provisions to see them through the Rugby World Cup Context is heightened awareness of earthquake preparedness in the wake of the Christchurch earthquake on 4 September 2010",0.000937207122774133,0.000937207122774133,0.516401124648547,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.188378631677601,0.0946579194001874,0.188378631677601,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0015562,11.8689818468824,mayor_bob_parker_mp_local_february_special_anderton,0.868981846882399,2010-09,Waikato times (Newspaper),"Hawkey, Allan Charles",""I'm still here!" Jim Anderton for Mayor. 14 September 2010","MP Jim Anderton who is standing for Mayor of Christchurch in the coming local body elections 9th October stands up to his chest in a crack in the road waving a sign that reads Jim Anderton for mayor and yelling I m still here Refers to the very high profile that his rival the standing mayor Bob Parker has enjoyed in the aftermath of the Christchurch earthquake of 4th September 2010",0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.119179163378058,0.000789265982636148,0.868981846882399,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148
