term,gerry_brownlee_time_high_paper_bank_buildings,insurance_chief_executive_companies_commission_recent_ami,red_zone_people_house_land_areas_report,people_buildings_labelled_representing_heading_broken_rubble,buildings_city_heritage_notes_speaks_cbd_sep,city_community_people_central_plan_district_cbd,river_pike_south_disaster_island_zealand_year,community_lyttelton_local_damage_describes_aftermath_process,version_words_cathedral_word_portaloo_damage_zealand,house_rebuild_eqc_city_insurance_woman_land,council_city_newspaper_marryatt_tony_people_woman,world_rugby_cup_frame_school_children_students,magnitude_city_caused_damage_big_aftershocks_year,people_aftershocks_ring_ken_called_moon_continuing,brownlee_john_key_government_gerry_prime_finance,party_jersey_team_centre_zealand_asks_news,mayor_bob_parker_cera_people_local_response
city,2.41440919407021e-05,1.46267259536625e-05,0.00778337061894109,1.95817341583771e-05,0.0338420135648062,0.0293537941714768,0.00361520781459491,2.40280647796626e-05,2.16132099939483e-05,0.017351671197825,0.0321566287183254,1.72657895645568e-05,0.0176307284329162,0.00104469662829284,0.0149957425336655,3.03785163132633e-05,1.97168658070113e-05
people,0.0108889854652567,1.46267259536625e-05,0.0163279890628884,0.0342876165113182,0.00895246095451434,0.0223145149936646,0.011994828576901,2.40280647796626e-05,2.16132099939483e-05,0.0106882029958953,0.0195326845391113,1.72657895645568e-05,2.07176597331565e-05,0.0276742185259535,1.57683938314043e-05,3.03785163132633e-05,0.0157932095114161
buildings,0.0133033946593269,1.46267259536625e-05,1.5535669898086e-05,0.029392182971724,0.0392866031983075,0.00354310385283214,0.00840356253591266,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
insurance,2.41440919407021e-05,0.0585215305406038,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.017351671197825,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
damage,2.41440919407021e-05,1.46267259536625e-05,0.00389945314441959,0.00491501527375264,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.0144408669325772,0.0151508602057578,0.00935550935550935,0.00461347778185824,0.0103767395282986,0.0134871964862849,0.00309312138965136,0.00711154561796335,3.03785163132633e-05,1.97168658070113e-05
red,2.41440919407021e-05,1.46267259536625e-05,0.0574975142928163,0.00295684185791494,7.7779851907162e-06,0.00706274344173823,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
council,2.41440919407021e-05,0.0036713082143693,1.5535669898086e-05,1.95817341583771e-05,0.00895246095451434,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00802281571512341,0.0447805728975395,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00494893331755984
brownlee,0.0314114636148534,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0331293954397805,3.03785163132633e-05,1.97168658070113e-05
aftershocks,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.0127477089371035,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.0140701997060603,0.00669012207473746,2.29526257803893e-05,1.72657895645568e-05,0.0124513134996271,0.0246015813839158,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
government,2.41440919407021e-05,1.46267259536625e-05,0.0132208550832712,1.95817341583771e-05,0.00273007280194138,2.34642639260406e-05,0.00122103045393603,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0252451985240783,3.03785163132633e-05,0.00987814976931267
john,0.00606016707711623,0.00293997191668617,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.0023698906565301,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00433371318070375,2.07176597331565e-05,2.04842476135852e-05,0.0331293954397805,3.03785163132633e-05,0.00593477660791041
house,2.41440919407021e-05,0.00586531710741868,0.0155512055679841,0.0078522753975092,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.0108366572156279,2.16132099939483e-05,0.0240151393997548,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
gerry,0.0350330774059588,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0252451985240783,3.03785163132633e-05,1.97168658070113e-05
mayor,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.059170314286841
zealand,2.41440919407021e-05,0.00586531710741868,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.0143890059375599,2.40280647796626e-05,0.0151508602057578,0.00402473479396556,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00868838500110379,0.0137007108572817,1.97168658070113e-05
zone,2.41440919407021e-05,1.46267259536625e-05,0.0404082774049217,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00395786685168249,3.03785163132633e-05,1.97168658070113e-05
bob,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.052269411254387
comments,2.41440919407021e-05,1.46267259536625e-05,0.00622980362913249,1.95817341583771e-05,0.0073968639163711,2.34642639260406e-05,0.00122103045393603,2.40280647796626e-05,0.00110227370969136,0.0133535902766672,0.00231821520381932,0.00347042370247591,2.07176597331565e-05,2.04842476135852e-05,0.00632312592639314,3.03785163132633e-05,1.97168658070113e-05
key,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.00690874035989717,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0331293954397805,3.03785163132633e-05,0.00297724673685871
parker,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.052269411254387
rebuild,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,0.00883136210542806,0.00234117354240558,0.00706274344173823,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.0226824457593688,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0047462865432527,0.00762500759462908,1.97168658070113e-05
woman,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.00119667746022807,0.00840356253591266,2.40280647796626e-05,2.16132099939483e-05,0.017351671197825,0.0172374219610723,1.72657895645568e-05,2.07176597331565e-05,0.0092383956737269,0.00395786685168249,3.03785163132633e-05,1.97168658070113e-05
year,2.41440919407021e-05,0.00293997191668617,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.00706274344173823,0.0131919172572304,0.00482964102071219,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.0124513134996271,0.00616575853168913,0.00553470623482292,3.03785163132633e-05,1.97168658070113e-05
describes,2.41440919407021e-05,0.00732798970278493,1.5535669898086e-05,1.95817341583771e-05,0.00661906539729948,0.0058895302454362,2.39417736065888e-05,0.0144408669325772,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00433371318070375,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
speaks,2.41440919407021e-05,0.00440264451205242,1.5535669898086e-05,0.00099866844207723,0.0108969572521934,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00606029213715943,0.00416424960636446,2.04842476135852e-05,1.57683938314043e-05,0.00458715596330275,1.97168658070113e-05
time,0.0181322130474673,1.46267259536625e-05,0.00389945314441959,1.95817341583771e-05,0.000785576504262336,0.00119667746022807,0.00361520781459491,0.012038060454611,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00520013259302229,0.00104469662829284,0.00553470623482292,3.03785163132633e-05,1.97168658070113e-05
world,2.41440919407021e-05,0.00293997191668617,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.00241811913426547,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.0362754238751338,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00154930433197643,1.97168658070113e-05
heritage,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.0171193454047663,0.00354310385283214,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00100556015615758
including,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00393592856583379,0.00856356169497853,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00866689720757327,2.6653872807719e-05,0.00346584649283878,1.72657895645568e-05,0.00830778155299577,2.04842476135852e-05,1.57683938314043e-05,0.00458715596330275,1.97168658070113e-05
work,2.41440919407021e-05,1.46267259536625e-05,0.00312266964951529,1.95817341583771e-05,0.00661906539729948,0.00706274344173823,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.0120208966362813,2.29526257803893e-05,0.00606029213715943,0.00520013259302229,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
frame,2.41440919407021e-05,1.46267259536625e-05,0.0132208550832712,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.00481229649492434,0.00362823778172906,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.0198729237888049,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
labelled,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.0274340095558863,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0149957425336655,3.03785163132633e-05,1.97168658070113e-05
large,0.00606016707711623,1.46267259536625e-05,0.00545302013422819,0.0127477089371035,7.7779851907162e-06,2.34642639260406e-05,0.00241811913426547,2.40280647796626e-05,0.00326359470908619,0.00402473479396556,2.29526257803893e-05,1.72657895645568e-05,0.0093436645396536,0.00309312138965136,0.00159260777697184,3.03785163132633e-05,1.97168658070113e-05
chief,2.41440919407021e-05,0.0182980341680318,1.5535669898086e-05,1.95817341583771e-05,0.000785576504262336,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0092040029379361,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00987814976931267
south,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00234117354240558,2.34642639260406e-05,0.0167831832982187,0.00603104425969532,2.16132099939483e-05,0.00402473479396556,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0126304834589549,3.03785163132633e-05,1.97168658070113e-05
cup,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.0302323975275389,2.07176597331565e-05,0.00821418329304765,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
newspaper,0.00123134868897581,1.46267259536625e-05,0.00545302013422819,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0241232096951891,1.72657895645568e-05,2.07176597331565e-05,0.00411733377033062,0.00789996530953357,3.03785163132633e-05,1.97168658070113e-05
notes,2.41440919407021e-05,0.0036713082143693,1.5535669898086e-05,1.95817341583771e-05,0.0112858565117292,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00260713422424808,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00914393341029224,1.97168658070113e-05
top,0.00243855328601091,1.46267259536625e-05,0.00389945314441959,0.0107895355212658,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.0140701997060603,2.6653872807719e-05,2.29526257803893e-05,0.00692358161538727,2.07176597331565e-05,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,0.00199140344650814
community,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.0234877281899667,2.39417736065888e-05,0.0252534960834254,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
company,2.41440919407021e-05,0.00440264451205242,1.5535669898086e-05,1.95817341583771e-05,0.00273007280194138,0.00706274344173823,2.39417736065888e-05,0.0108366572156279,2.16132099939483e-05,0.00535742843435151,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00553470623482292,3.03785163132633e-05,0.00199140344650814
asks,2.41440919407021e-05,0.00293997191668617,1.5535669898086e-05,0.00491501527375264,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00242683454274593,0.00110227370969136,2.6653872807719e-05,2.29526257803893e-05,0.00347042370247591,0.0124513134996271,2.04842476135852e-05,1.57683938314043e-05,0.0137007108572817,0.00297724673685871
owners,2.41440919407021e-05,0.00732798970278493,0.00933693760874969,1.95817341583771e-05,0.00700796465683529,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
executive,2.41440919407021e-05,0.0175666978703487,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0092040029379361,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00692061989826097
rugby,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.0319589764839946,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00306823014763959,1.97168658070113e-05
cbd,2.41440919407021e-05,1.46267259536625e-05,0.00156910265970669,1.95817341583771e-05,0.0101191587331218,0.0117555962269464,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
central,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00778576317590691,0.0199680886010606,2.39417736065888e-05,2.40280647796626e-05,0.00110227370969136,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
discusses,2.41440919407021e-05,0.00293997191668617,1.5535669898086e-05,1.95817341583771e-05,0.0073968639163711,2.34642639260406e-05,2.39417736065888e-05,0.0108366572156279,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00105660064639098,2.04842476135852e-05,1.57683938314043e-05,0.00762500759462908,1.97168658070113e-05
liquefaction,2.41440919407021e-05,0.00147729932131992,0.00856015411384539,0.00295684185791494,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.0108282182069681,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00830778155299577,2.04842476135852e-05,0.00316944716011227,3.03785163132633e-05,1.97168658070113e-05
high,0.0157178038533971,0.00586531710741868,1.5535669898086e-05,0.00099866844207723,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00778687109361511,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00593477660791041
includes,2.41440919407021e-05,0.000745963023636789,1.5535669898086e-05,0.00197775514999608,0.00856356169497853,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00218293420938878,2.6653872807719e-05,0.00231821520381932,1.72657895645568e-05,0.00830778155299577,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
sep,2.41440919407021e-05,0.00952199859583431,1.5535669898086e-05,1.95817341583771e-05,0.00934136021405015,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
rubble,0.00847457627118644,1.46267259536625e-05,1.5535669898086e-05,0.0166640557687789,0.000785576504262336,0.0117555962269464,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
auckland,0.00364575788304602,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00895246095451434,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00711154561796335,3.03785163132633e-05,1.97168658070113e-05
homes,2.41440919407021e-05,1.46267259536625e-05,0.0132208550832712,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.0133535902766672,2.29526257803893e-05,1.72657895645568e-05,0.00830778155299577,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
made,0.0108889854652567,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00156337502333396,2.34642639260406e-05,2.39417736065888e-05,0.00362823778172906,0.00110227370969136,2.6653872807719e-05,2.29526257803893e-05,0.00951345005007079,2.07176597331565e-05,0.00309312138965136,1.57683938314043e-05,0.00610608177896591,1.97168658070113e-05
post,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00817466243544272,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00135934751319367,0.00576110907087771,0.00433371318070375,2.07176597331565e-05,0.00309312138965136,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
hit,2.41440919407021e-05,1.46267259536625e-05,0.010113721103654,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.0151508602057578,0.00535742843435151,0.00117058391479985,1.72657895645568e-05,2.07176597331565e-05,0.0020689090089721,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
number,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,0.0058941019816715,0.00506346835915624,0.00706274344173823,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00727189856633795,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
representing,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.022538576016292,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00122543130376279,2.16132099939483e-05,0.00269204115357962,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,0.00104469662829284,0.00553470623482292,3.03785163132633e-05,1.97168658070113e-05
june,2.41440919407021e-05,1.46267259536625e-05,0.00467623663932389,0.0117686222291846,7.7779851907162e-06,0.00471631704913417,2.39417736065888e-05,2.40280647796626e-05,0.00110227370969136,0.00535742843435151,2.29526257803893e-05,1.72657895645568e-05,0.00416424960636446,2.04842476135852e-05,0.00159260777697184,3.03785163132633e-05,1.97168658070113e-05
reading,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00393592856583379,7.7779851907162e-06,2.34642639260406e-05,0.00361520781459491,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.011499265515975,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.0110536440758144,3.03785163132633e-05,0.00199140344650814
home,2.41440919407021e-05,0.00440264451205242,1.5535669898086e-05,0.00491501527375264,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00326359470908619,2.6653872807719e-05,0.00690874035989717,0.0103767395282986,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
land,2.41440919407021e-05,1.46267259536625e-05,0.0147744220730798,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.017351671197825,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
caused,0.00968178086822155,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.00361520781459491,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00519700265893159,0.0145230794729427,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
