identifier,world_rugby_cup_earthquakes_river_man_shows,buildings_building_city_heritage_rebuilding_notes_earthquakes,man_context_buildings_february_shows_cartoon_damaged,people_canterbury_government_february_nz_response_civil,city_talks_earthquakes_canterbury_feb_residents_business,nz_talks_quake_community_canterbury_earthquakes_time,minister_brownlee_gerry_key_recovery_john_canterbury,earthquakes_people_context_asks_ring_quake_ken,red_zone_business_context_house_central_homes,context_man_reads_damage_portaloo_shipping_eqc,insurance_earthquakes_chief_executive_companies_nz_talks,mayor_bob_parker_council_city_marryatt_pay,city_building_school_people_rebuild_woman_quake,man_reads_quake_newspaper_september_toilet_bank,context_cartoon_text_shows_reads_february_zealand,party_labour_prince_rebuilding_energy_talks_nz,shows_quake_refers_cartoon_context_reads_frame
DCDL-0015511,0.00162074554294976,0.00162074554294976,0.487844408427877,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.0826580226904376,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.406807131280389
DCDL-0015512,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.323340471092077,0.21627408993576,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.430406852248394
DCDL-0015513,0.000565930956423316,0.000565930956423316,0.368421052631579,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.623089983022071,0.000565930956423316,0.000565930956423316
DCDL-0015513A,0.000565930956423316,0.000565930956423316,0.368421052631579,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.623089983022071,0.000565930956423316,0.000565930956423316
DCDL-0015518,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.775628626692456,0.0986460348162476,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.0986460348162476
DCDL-0015519,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.172236503856041,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.514995715509854,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.300771208226221
DCDL-0015522,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.97768479776848,0.00139470013947001,0.00139470013947001
DCDL-0015522A,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.97768479776848,0.00139470013947001,0.00139470013947001
DCDL-0015528,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.462514417531719,0.0588235294117647,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.462514417531719,0.00115340253748558,0.00115340253748558
DCDL-0015530,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.0288624787775891,0.000565930956423316,0.000565930956423316,0.340124504810413,0.000565930956423316,0.113752122241087,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.057159026598755,0.000565930956423316,0.311827956989247,0.142048670062252,0.000565930956423316
DCDL-0015533,0.000638162093171666,0.000638162093171666,0.287811104020421,0.255902999361838,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.415443522654754,0.000638162093171666,0.000638162093171666,0.000638162093171666,0.0325462667517549,0.000638162093171666
DCDL-0015539,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.325769854132901,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.649918962722852,0.00162074554294976,0.00162074554294976
DCDL-0015541,0.228549734244495,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.000759301442672741,0.228549734244495,0.000759301442672741,0.532270311313591
DCDL-0015552,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.0664928292046936,0.00130378096479791,0.00130378096479791,0.457627118644068,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.457627118644068,0.00130378096479791,0.00130378096479791,0.00130378096479791
DCDL-0015558,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.282099343955014,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.375820056232427,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.328959700093721
DCDL-0015561,0.172236503856041,0.172236503856041,0.386461011139674,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.257926306769494,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533
DCDL-0015562,0.102931152010907,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.0688479890933879,0.000681663258350375,0.000681663258350375,0.8186775732788,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375
DCDL-0015572,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.763578274760383,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.231096911608094,0.00035498757543486,0.00035498757543486
DCDL-0015572A,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.763578274760383,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.00035498757543486,0.231096911608094,0.00035498757543486,0.00035498757543486
DCDL-0015573,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.894318633293604,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.000397298371076679,0.0997218911402463,0.000397298371076679,0.000397298371076679
DCDL-0015605,0.171097477845944,0.000681663258350375,0.137014314928425,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.307430129516019,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.375596455351057,0.000681663258350375,0.000681663258350375
