identifier,TopicValue2,Topic,TopicValue,Date,Month,Publisher,Republished,Sewerage,Disasters_PA,Infrastructure,Earthquake_aftershocks,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,aftershocks_appears_holds_economy_bank_rate_made,portaloo_asks_centre_small_infrastructure_head_crane,buildings_people_rubble_building_broken_collapsed_arm,people_pm_homes_government_june_show_part,recovery_cera_damage_eqc_prime_rebuilding_back,red_city_areas_house_black_move_liquefaction,people_called_replies_refugees_ken_ring_couple_heading,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,insurance_huge_hit_version_companies_words_june,city_council_tony_marryatt_mayor_comments_pay_rise_public,cup_rugby_world_world_damage_auckland_decision_rugby,business_red_zone_cbd_buildings_large_words_owners,city_rebuild_buildings_heading_house_rebuilding_title,mayor_toilet_standing_anderton_paper_wife_toilets,march_news_japan_port_moon_day_tsunami,finance_government_billion_reading_cost_south_damage,great_pike_river_south_island_weather_snow_aftershocks_represents
DCDL-0015511,7.60191846522782,people_called_replies_refugees_ken_ring_couple_heading,0.601918465227818,06/09/2010,2010-09,Marlborough Express (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.601918465227818,0.00239808153477218,0.3621103117506,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015512,13.6958525345622,city_rebuild_buildings_heading_house_rebuilding_title,0.695852534562212,07/09/2010,2010-09,Marlborough Express (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.235023041474654,0.695852534562212,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
DCDL-0015513,3.658175842235,buildings_people_rubble_building_broken_collapsed_arm,0.658175842235004,06/09/2010,2010-09,Dominion post (Newspaper),1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0419063270336894,0.000821692686935086,0.658175842235004,0.000821692686935086,0.000821692686935086,0.206244864420707,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.0829909613804437,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015518,16.752808988764,finance_government_billion_reading_cost_south_damage,0.752808988764045,06/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.191011235955056,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.752808988764045,0.00374531835205993
DCDL-0015519,17.9717813051146,great_pike_river_south_island_weather_snow_aftershocks_represents,0.971781305114638,07/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.971781305114638
DCDL-0015522,3.47634069400631,buildings_people_rubble_building_broken_collapsed_arm,0.476340694006309,07/09/2010,2010-09,Dominion post (Newspaper),1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0.476340694006309,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.00315457413249211
DCDL-0015528,16.6190476190476,finance_government_billion_reading_cost_south_damage,0.619047619047619,06/09/2010,2010-09,Southland times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.354497354497354,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.619047619047619,0.0017636684303351
DCDL-0015530,2.53492193919474,portaloo_asks_centre_small_infrastructure_head_crane,0.534921939194741,08/09/2010,2010-09,Southland times (Newspaper),0,0,0,0,0,"Key, John Phillip (Rt Hon), 1961- (name_authority)",0,0,1,0,0,0,0,0,0,0,0,0,0.000821692686935086,0.534921939194741,0.000821692686935086,0.247329498767461,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.206244864420707,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015533,3.4296205630355,buildings_people_rubble_building_broken_collapsed_arm,0.429620563035496,07/09/2010,2010-09,Northern advocate (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00122399020807834,0.00122399020807834,0.429620563035496,0.123623011015912,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.429620563035496,0.00122399020807834,0.00122399020807834,0.00122399020807834
DCDL-0015539,6.54768392370572,red_city_areas_house_black_move_liquefaction,0.547683923705722,09/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.547683923705722,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.411444141689373,0.00272479564032698,0.00272479564032698,0.00272479564032698
DCDL-0015541,9.520184544406,insurance_huge_hit_version_companies_words_june,0.520184544405998,08/09/2010,2010-09,Marlborough Express (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.520184544405998,0.00115340253748558,0.289504036908881,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.174163783160323,0.00115340253748558
