term,aftershocks_appears_holds_economy_bank_rate_made,portaloo_asks_centre_small_infrastructure_head_crane,buildings_people_rubble_building_broken_collapsed_arm,people_pm_homes_government_june_show_part,recovery_cera_damage_eqc_prime_rebuilding_back,red_city_areas_house_black_move_liquefaction,people_called_replies_refugees_ken_ring_couple_heading,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,insurance_huge_hit_version_companies_words_june,city_council_tony_marryatt_mayor_comments_pay_rise_public,cup_rugby_world_world_damage_auckland_decision_rugby,business_red_zone_cbd_buildings_large_words_owners,city_rebuild_buildings_heading_house_rebuilding_title,mayor_toilet_standing_anderton_paper_wife_toilets,march_news_japan_port_moon_day_tsunami,finance_government_billion_reading_cost_south_damage,great_pike_river_south_island_weather_snow_aftershocks_represents
people,6.16979269496545e-05,6.2664494297531e-05,0.0443570716579909,0.0499138634509022,4.82905157427081e-05,0.0198172071359522,0.0795131336791032,4.92416781563916e-05,5.08698748601079e-05,0.0101730944427574,4.84073966502082e-05,5.40306894315972e-05,0.0178953945019636,0.00459969031787959,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
city,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,0.037393444063626,4.18270035134683e-05,4.92416781563916e-05,0.00513785736087089,0.0759692276546209,0.00246877722916062,5.40306894315972e-05,0.0446715458764727,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
damage,6.16979269496545e-05,0.0157287880686803,0.0138996566618673,4.53350258409647e-05,0.0266080741742322,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,0.00513785736087089,5.0612410162972e-05,0.0266724755542647,5.40306894315972e-05,4.46269189575152e-05,0.0137079879770471,7.03828828828829e-05,0.0252659574468085,5.89692180681684e-05
buildings,6.16979269496545e-05,6.2664494297531e-05,0.060970207110422,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,0.02977090987681,0.0335148161370939,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
aftershocks,0.0309106614017769,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,0.0042245273548603,0.0640634232814654,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,0.0236466564453355
cup,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,0.0944428308645561,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
council,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,0.0759692276546209,4.84073966502082e-05,5.40306894315972e-05,0.0134327026062121,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
government,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,0.0204460966542751,4.82905157427081e-05,0.00224097020827841,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,0.0177649559672032,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,0.0436078503301541,5.89692180681684e-05
house,6.16979269496545e-05,0.0125955633538037,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,0.0308023552157483,4.18270035134683e-05,0.0123596612172543,5.08698748601079e-05,0.00258123291831157,4.84073966502082e-05,5.40306894315972e-05,0.0201267404498393,4.55414882958375e-05,7.03828828828829e-05,0.00463132795304475,5.89692180681684e-05
insurance,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,0.00443799982423763,4.18270035134683e-05,4.92416781563916e-05,0.0712686946790111,5.0612410162972e-05,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,0.0115095377842993,5.89692180681684e-05
mayor,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,0.00457883760993744,0.00487734209001352,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,0.0278874379997976,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,0.0455870297841333,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
large,0.0154861796643633,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,0.012589928057554,0.0172838290328934,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,0.0270693754052302,0.0112013566583363,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
recovery,6.16979269496545e-05,0.0125955633538037,5.53771181747702e-05,0.0136458427781304,0.0362661773227738,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,0.012703714950906,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
red,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,4.82905157427081e-05,0.0549696809912998,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,0.0121502565592022,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
rebuild,0.00314659427443238,6.2664494297531e-05,5.53771181747702e-05,4.53350258409647e-05,0.0169499710256906,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,5.40306894315972e-05,0.0446715458764727,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
rubble,0.018571076011846,0.00946233863892718,0.0360505039317754,4.53350258409647e-05,0.00729186787714893,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,5.40306894315972e-05,4.46269189575152e-05,0.00459969031787959,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
prime,6.16979269496545e-05,6.2664494297531e-05,5.53771181747702e-05,0.0023120863178892,0.0217790225999614,4.39405923191845e-05,4.18270035134683e-05,4.92416781563916e-05,5.08698748601079e-05,0.00258123291831157,0.0218317358892439,5.40306894315972e-05,4.46269189575152e-05,4.55414882958375e-05,7.03828828828829e-05,0.0138022743947175,5.89692180681684e-05
building,6.16979269496545e-05,6.2664494297531e-05,0.0360505039317754,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,0.012589928057554,4.92416781563916e-05,5.08698748601079e-05,5.0612410162972e-05,4.84073966502082e-05,5.40306894315972e-05,0.0134327026062121,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
heading,6.16979269496545e-05,6.2664494297531e-05,0.00282423302691328,4.53350258409647e-05,4.82905157427081e-05,4.39405923191845e-05,0.0167726284089008,4.92416781563916e-05,5.08698748601079e-05,0.00764247393460877,0.00730951689418143,5.40306894315972e-05,0.0223580863977151,4.55414882958375e-05,7.03828828828829e-05,4.58547322083639e-05,5.89692180681684e-05
