identifier,TopicValue2,Topic,TopicValue,Record.Index,origin_url,title,Date,Month,Cartoonists,Publisher,Republished,Page.no,description,Authorities,SubjectAuthorities,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,BuildingsEarthquakeEffect,Aftershocks,BuildingsRepairReconstruction,CityPlanning,Disasters_PsychologicalAspects,Sewerage,InfrastructureEconomics,Courage,World.Cup,EconomicCondition,people_business_cbd_large_red_zone_owners_house,rubble_time_title_pm_plan_people_toilet,red_city_areas_red_zone_liquefaction_black_wearing,people_rescue_arm_surrounded_weeks_rubble_hand,finance_bill_english_holds_economy_large_represents_chch,portaloo_damage_house_toilet_portaloos_problems_back,buildings_march_huge_caused_kiwi_city_japan,aftershocks_word_liquefaction_aftershock_humour_version_great,buildings_people_heading_building_rebuild_refugees_city,move_zone_homes_orange_people_june_made,rugby_government_damage_cost_billion_auckland_prime,south_island_finance_reading_represents_damage_hit,bob_parker_mayor_elections_anderton_local_body_october,people_moon_asks_ken_ring_day_replies_predictions,cera_recovery_eqc_house_prime_work_shipping,council_city_government_tony_marryatt_pay_rise_comments_public,insurance_ami_companies_home_damage_version_company
DCDL-0015511,1.3621103117506,people_business_cbd_large_red_zone_owners_house,0.3621103117506,115,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1352002,"The reminder... Emergency survival kit. "First aid kit... water... canned food... torch..." 6 September 2010",06/09/2010,2010-09,"Bromhead, Peter",Marlborough Express (Newspaper),0,"ME 6","The Christchurch earthquake that struck on 4 September 2010 reminds people in places other than Christchurch to check their emergency survival kits The cartoon shows a couple ticking off the contents of their box","Survival and emergency equipment (subject_authority)","Survival and emergency equipment (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3621103117506,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.122302158273381,0.00239808153477218,0.00239808153477218,0.122302158273381,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.24220623501199,0.00239808153477218,0.00239808153477218,0.122302158273381
DCDL-0015512,9.69585253456221,buildings_people_heading_building_rebuild_refugees_city,0.695852534562212,114,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1352048,""Hello?" "It's your aunt in London..." "How's life in the South Island, did you ask?" "Have you ever been in a war zone?" 7 September 2010",07/09/2010,2010-09,"Bromhead, Peter",Marlborough Express (Newspaper),0,"ME 6","In four frames a man chats to an aunt in London who has phoned to see how they are The man asks her if she has ever been in a war zone Refers to the Christchurch earthquake of 4th September 2010","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.695852534562212,0.235023041474654,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
DCDL-0015513,7.61709120788825,buildings_march_huge_caused_kiwi_city_japan,0.61709120788825,123,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358040,"Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010",06/09/2010,2010-09,"Hodgson, Trace",Dominion post (Newspaper),1,"DP B4; NM 9;","A man with his arm around his wife and baby stands on a heap of rubble with a spade in his other hand In the background are the Christchurch Cathedral and several other badly damaged buildings and a signpost reading Christchurch lies on top of the rubble Text reads Buildings may fall but the Kiwi spirit and compassion for our neighbours will never be crushed There are two versions of the cartoon one in colour and one black and white Refers to the Christchurch earthquake of 4th September 2010","Courage (subject_authority) # Buildings - Earthquake effects (subject_authority)","Courage (subject_authority) # Buildings - Earthquake effects (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.247329498767461,0.000821692686935086,0.000821692686935086,0.61709120788825,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.124075595727198,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015518,12.940074906367,south_island_finance_reading_represents_damage_hit,0.940074906367041,235,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358045,"Canterbury. THE CLEANUP. 6 September 2010",06/09/2010,2010-09,"Hawkey, Allan Charles",Waikato times (Newspaper),0,"WT 6","A man stares at an enormous roadsign reading Cleanup that dwarfs a smaller one pointing to Canterbury Refers to the damage resulting from the Christchurch earthquake of 4th September 2010","Disaster relief (subject_authority)","Disaster relief (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.940074906367041,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993
DCDL-0015519,12.8260869565217,south_island_finance_reading_represents_damage_hit,0.826086956521739,82,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358046,""What with the Canterbury earthquake and the flooding in the Lower North Island - I thought it wise to get away from it all" 7 September 2010",07/09/2010,2010-09,"Hawkey, Allan Charles",Waikato times (Newspaper),0,"WT 6","A man has climbed an active volcano and pitched a tent in order to get away from the Canterbury earthquake and the flooding in the lower North Island Refers to the Christchurch earthquake of 4th September 2010 as well as the heavy rain slips and flooding from Whanganui in the centre of the North Island down to the Rimutaka Hill Road North of Wellington",,,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764617691154423,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.0764617691154423,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.826086956521739,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259
DCDL-0015522,2.94952681388013,rubble_time_title_pm_plan_people_toilet,0.949526813880126,53,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358055,"CHRISTCHURCH. 7 September 2010",07/09/2010,2010-09,"Scott, Thomas",Dominion post (Newspaper),1,"DP B4; NM 9","The cartoon shows the letters of the name Christchurch as blocks of stone that have collapsed into a pile of rubble on top is a single rose Refers to the Christchurch earthquake of Saturday 4th September 2010","Buildings - Earthquake effects (subject_authority)","Buildings - Earthquake effects (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.949526813880126,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211
DCDL-0015528,11.6190476190476,rugby_government_damage_cost_billion_auckland_prime,0.619047619047619,233,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358062,"SIZE-mic does matter. 7.1 on the richter scale. $2 billion on the WRECKter scale. 6 September 2010",06/09/2010,2010-09,"Winter, Mark",Southland times (Newspaper),0,"ST 6","A graph shows an earthquake registering 7 1 on the Richter scale and 2 billion on the Wreckter scale An arrow shoots upwards from the 2 billion anticipating that the cost will rise higher Text above reads SIZE mic does matter Refers to the Christchurch earthquake of Saturday 4th September 2010 and the cost of the damage","Richter scale (subject_authority) # Earthquake damage (subject_authority) # Earthquake damage (subject_authority)","Richter scale (subject_authority) # Earthquake damage (subject_authority) # Earthquake damage (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017636684303351,0.354497354497354,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.619047619047619,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0015530,2.61709120788825,rubble_time_title_pm_plan_people_toilet,0.61709120788825,268,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358064,""Hey Phil... It's a 'Dear John' letter..." 8 September 2010",08/09/2010,2010-09,"Winter, Mark",Southland times (Newspaper),0,"ST 10","The Queen tells Prince Philip that she has received a Dear John letter from PM John Key and that it seems the earth has moved for him back in NZ Text above reads Keynote In the published version the queen says that John Key preferred to stay at home cos the earth moved A third version refers to the decision of the PM to remain in New Zealand because of the Christchurch earthquake instead of going on a trip to Europe with his wife during which they were to have stayed at the invitation of the Queen at Balmoral Castle in Scotland","Key, John Phillip (Rt Hon), 1961- (name_authority)",,"Key, John Phillip (Rt Hon), 1961- (name_authority)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000821692686935086,0.61709120788825,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.0829909613804437,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.206244864420707,0.0829909613804437
DCDL-0015533,13.546346782988,bob_parker_mayor_elections_anderton_local_body_october,0.546346782988004,189,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358067,"Out from under the woodwork... CANTERBURY. Looter. Looter. Looter. Politics. Politics. 6 September 2010",07/09/2010,2010-09,"Hubbard, James",Northern advocate (Newspaper),0,"NA 6","The cartoon shows rubble and ruined buildings after the Canterbury earthquake of 4th September 2010 Rats representing looters run over the buildings taking advantage as do cockroaches representing politics Refers to a certain amount of looting but also the high profiles during the aftermath of Mayor Bob Parker with local body elections only a few weeks away and PM John Key in particular","Pillage (subject_authority)","Pillage (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.32824427480916,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.110141766630316,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.546346782988004,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422
DCDL-0015539,4.68392370572207,people_rescue_arm_surrounded_weeks_rubble_hand,0.683923705722071,23,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358741,"THE HELPING HAND. [Canterbury earthquake]. 9 September 2010",09/09/2010,2010-09,"Hawkey, Allan Charles",Waikato times (Newspaper),0,"WT 6","Someone representing government neighbours firemen friends etc all of which are printed on a tshirt reaches down with a helping hand to Canterbury Refers to the Canterbury of 4th September 2010","Disaster relief (subject_authority) # Charities (subject_authority) # Government aid (subject_authority)","Disaster relief (subject_authority) # Charities (subject_authority) # Government aid (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0.138964577656676,0.683923705722071,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.138964577656676,0.00272479564032698
DCDL-0015541,12.7508650519031,south_island_finance_reading_represents_damage_hit,0.750865051903114,186,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358743,"WATER... One minute too much... The next, not enough... 8 September 2010",08/09/2010,2010-09,"Bromhead, Peter",Marlborough Express (Newspaper),0,"ME 6","Text reads Water One minute too much The next not enough In the first frame a man is fed up with another downpour and in the second frame there is shown a plastic bottle of drinking water Refers to the amount of rain in recent times but also the need for bottled or boiled water In Canterbury after the earthquake of 4th September 2010 which caused major damage to sewage and water systems","Rain and rainfall (subject_authority) # Survival and emergency equipment (subject_authority)","Rain and rainfall (subject_authority) # Survival and emergency equipment (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115340253748558,0.231833910034602,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.750865051903114,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
