identifier,TopicValue2,Topic,TopicValue,title,Date,Cartoonists,Publisher,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,BuildingsEarthquakeEffect,Aftershocks,BuildingsRepairReconstruction,CityPlanning,Disasters_PsychologicalAspects,Sewerage,InfrastructureEconomics,Courage,World.Cup,EconomicCondition,mayor_bob_parker_auckland_anderton_local_prime_lower,pike_river_made_toilet_represents_bank_broken_reserve,buildings_people_city_rebuild_heading_building_house,house_jersey_asks_move_neighbour_live_report,rugby_world_cup_ball_buildings_damage_decision_tsunami,people_aftershocks_gambling_wondering_year_show_power,business_cbd_allowed_owners_large_central_point,recovery_cera_portaloo_damage_problems_back_portaloos,red_people_buildings_black_rubble_areas_damage,city_comments_boy_people_rebuild_map_ideas,week_time_rebuilding_contractors_work_party_labour,ring_moon_people_workers_ken_march_port,aftershocks_people_aftershock_liquefaction_house_great_phone,version_word_cathedral_reading_letters_large_home,insurance_finance_billion_government_cost_company_huge,people_couple_reading_months_time_news_council,city_council_people_tony_marryatt_june_pay_rise_large_orange
DCDL-0015511,16.7218225419664,people_couple_reading_months_time_news_council,0.721822541966427,"The reminder... Emergency survival kit. "First aid kit... water... canned food... torch..." 6 September 2010",06/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.122302158273381,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.122302158273381,0.00239808153477218,0.721822541966427,0.00239808153477218
DCDL-0015512,4.69585253456221,house_jersey_asks_move_neighbour_live_report,0.695852534562212,""Hello?" "It's your aunt in London..." "How's life in the South Island, did you ask?" "Have you ever been in a war zone?" 7 September 2010",07/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.695852534562212,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.235023041474654
DCDL-0015513,9.84198975859546,red_people_buildings_black_rubble_areas_damage,0.841989758595465,"Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010",06/09/2010,"Hodgson, Trace",Dominion post (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.841989758595465,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.147037307973665,0.000731528895391368,0.000731528895391368,0.000731528895391368
DCDL-0015513A,9.84198975859546,red_people_buildings_black_rubble_areas_damage,0.841989758595465,"Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010",06/09/2010,"Hodgson, Trace",Nelson mail (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.841989758595465,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.000731528895391368,0.147037307973665,0.000731528895391368,0.000731528895391368,0.000731528895391368
DCDL-0015518,16.752808988764,people_couple_reading_months_time_news_council,0.752808988764045,"Canterbury. THE CLEANUP. 6 September 2010",06/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.191011235955056,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.752808988764045,0.00374531835205993
DCDL-0015519,15.6499189627229,insurance_finance_billion_government_cost_company_huge,0.649918962722852,""What with the Canterbury earthquake and the flooding in the Lower North Island - I thought it wise to get away from it all" 7 September 2010",07/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244732576985413,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.0826580226904376,0.00162074554294976,0.649918962722852,0.00162074554294976,0.00162074554294976
DCDL-0015522,14.96573875803,version_word_cathedral_reading_letters_large_home,0.965738758029979,"CHRISTCHURCH. 7 September 2010",07/09/2010,"Scott, Thomas",Dominion post (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.965738758029979,0.00214132762312634,0.00214132762312634,0.00214132762312634
DCDL-0015522A,14.96573875803,version_word_cathedral_reading_letters_large_home,0.965738758029979,"CHRISTCHURCH. 7 September 2010",07/09/2010,"Scott, Thomas",Nelson mail (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.965738758029979,0.00214132762312634,0.00214132762312634,0.00214132762312634
DCDL-0015528,15.6190476190476,insurance_finance_billion_government_cost_company_huge,0.619047619047619,"SIZE-mic does matter. 7.1 on the richter scale. $2 billion on the WRECKter scale. 6 September 2010",06/09/2010,"Winter, Mark",Southland times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.354497354497354,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.619047619047619,0.0017636684303351,0.0017636684303351
DCDL-0015530,14.5532754538279,version_word_cathedral_reading_letters_large_home,0.55327545382794,""Hey Phil... It's a 'Dear John' letter..." 8 September 2010",08/09/2010,"Winter, Mark",Southland times (Newspaper),"Key, John Phillip (Rt Hon), 1961- (name_authority)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.277032359905288,0.119179163378058,0.000789265982636148,0.0402525651144436,0.000789265982636148,0.000789265982636148,0.55327545382794,0.000789265982636148,0.000789265982636148,0.000789265982636148
