term,mayor_bob_parker_auckland_anderton_local_prime_lower,pike_river_made_toilet_represents_bank_broken_reserve,buildings_people_city_rebuild_heading_building_house,house_jersey_asks_move_neighbour_live_report,rugby_world_cup_ball_buildings_damage_decision_tsunami,people_aftershocks_gambling_wondering_year_show_power,business_cbd_allowed_owners_large_central_point,recovery_cera_portaloo_damage_problems_back_portaloos,red_people_buildings_black_rubble_areas_damage,city_comments_boy_people_rebuild_map_ideas,week_time_rebuilding_contractors_work_party_labour,ring_moon_people_workers_ken_march_port,aftershocks_people_aftershock_liquefaction_house_great_phone,version_word_cathedral_reading_letters_large_home,insurance_finance_billion_government_cost_company_huge,people_couple_reading_months_time_news_council,city_council_people_tony_marryatt_june_pay_rise_large_orange
people,3.98771782908641e-05,0.00541665172005596,0.0274796167677821,4.71098129740425e-05,2.71539902788715e-05,0.0350027462925051,0.00739217702060998,4.26857899005421e-05,0.0317243219801848,0.022352183178867,4.18813083720736e-05,0.0300318309729206,0.0297094997856695,0.0116058630415684,2.88791983134548e-05,0.0302493253312925,0.0278902217105507
buildings,3.98771782908641e-05,3.58718656957348e-05,0.0466961319900074,4.71098129740425e-05,0.0190349471854889,4.99325910021471e-05,4.89548147060263e-05,4.26857899005421e-05,0.025052540280882,4.95613817713238e-05,4.18813083720736e-05,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,2.88791983134548e-05,4.0278728803319e-05,3.71374456864857e-05
damage,3.98771782908641e-05,3.58718656957348e-05,2.7452164603179e-05,4.71098129740425e-05,0.0163195481576018,4.99325910021471e-05,0.00494443628530866,0.0213855807401716,0.0167128131567535,4.95613817713238e-05,0.00632407756418311,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,0.0173563981863863,0.0101099609296331,0.00932149886730791
aftershocks,3.98771782908641e-05,3.58718656957348e-05,2.7452164603179e-05,4.71098129740425e-05,2.71539902788715e-05,0.0325061167423978,4.89548147060263e-05,4.26857899005421e-05,3.3358908496514e-05,0.00996183773603608,4.18813083720736e-05,4.61318448124741e-05,0.0577373297721502,4.62384981735793e-05,2.88791983134548e-05,4.0278728803319e-05,0.00189400973001077
city,0.00602145392192049,3.58718656957348e-05,0.0274796167677821,4.71098129740425e-05,2.71539902788715e-05,4.99325910021471e-05,0.00249669555000734,4.26857899005421e-05,0.0117089768822764,0.0421767358873965,0.00632407756418311,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,2.88791983134548e-05,4.0278728803319e-05,3.71374456864857e-05
house,3.98771782908641e-05,3.58718656957348e-05,0.0178713591566695,0.0353794695435059,2.71539902788715e-05,4.99325910021471e-05,4.89548147060263e-05,4.26857899005421e-05,3.3358908496514e-05,4.95613817713238e-05,4.18813083720736e-05,4.61318448124741e-05,0.016519932733208,4.62384981735793e-05,2.88791983134548e-05,4.0278728803319e-05,0.0130352434359565
government,0.0120030306655501,3.58718656957348e-05,2.7452164603179e-05,0.00946907240778254,2.71539902788715e-05,4.99325910021471e-05,4.89548147060263e-05,4.26857899005421e-05,0.0150448677319278,4.95613817713238e-05,4.18813083720736e-05,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,0.0216882779334046,4.0278728803319e-05,0.0148921157202808
large,0.00203373609283407,0.00541665172005596,2.7452164603179e-05,4.71098129740425e-05,2.71539902788715e-05,4.99325910021471e-05,0.0245263621677192,4.26857899005421e-05,3.3358908496514e-05,0.0149179759131685,4.18813083720736e-05,0.00927250080730728,3.29739176311538e-05,0.0162297128589263,2.88791983134548e-05,4.0278728803319e-05,0.016748988004605
mayor,0.0778003748454759,3.58718656957348e-05,2.7452164603179e-05,4.71098129740425e-05,2.71539902788715e-05,4.99325910021471e-05,4.89548147060263e-05,4.26857899005421e-05,3.3358908496514e-05,4.95613817713238e-05,4.18813083720736e-05,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,2.88791983134548e-05,4.0278728803319e-05,3.71374456864857e-05
insurance,3.98771782908641e-05,3.58718656957348e-05,2.7452164603179e-05,4.71098129740425e-05,2.71539902788715e-05,4.99325910021471e-05,4.89548147060263e-05,4.26857899005421e-05,3.3358908496514e-05,4.95613817713238e-05,4.18813083720736e-05,4.61318448124741e-05,3.29739176311538e-05,4.62384981735793e-05,0.0548993559938776,4.0278728803319e-05,3.71374456864857e-05
