term,river_pike_south_disaster_island_people_mine,city_people_version_comments_word_large_council,made_bank_representing_chch_reserve_paper_left,insurance_council_marryatt_city_pay_tony_ami,toilet_rubble_portaloo_time_damage_portaloos_problems,aftershocks_residents_move_parking_nature_crumbling_mother,buildings_rubble_damage_people_sign_cathedral_representing,red_zone_house_areas_report_city_homes,world_cup_rugby_people_decision_damage_land,people_gambling_runs_wondering_victims_mobile_power,mayor_bob_parker_jersey_body_elections_anderton,red_zone_business_owners_allowed_black_cbd,eqc_contractors_week_list_quakes_paid_hour,john_key_finance_government_prime_billion_english,brownlee_gerry_recovery_buildings_john_damaged_key,aftershocks_liquefaction_rebuild_house_heading_people_couple,ring_ken_people_moon_march_japan_weeks
people,0.0200720993368641,0.0354601553042605,3.91864884987656e-05,0.00335336498555729,5.08414255935736e-05,4.81486831335163e-05,0.0222083039745296,0.0120171416584255,0.0230448075216148,0.0593763348996156,4.22493556973256e-05,0.00941167647830815,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.0176419460170547,0.0284804126057113
city,4.45057634963728e-05,0.0413652602675013,0.0117951330381285,0.0216142634217604,5.08414255935736e-05,0.00967788530983677,0.00133093243560636,0.0195091252359975,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.0152928187178463,3.79233190488832e-05
red,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0240043153825407,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.101278638119165,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
buildings,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.0704872256582896,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.027490025257147,2.34912729920834e-05,3.79233190488832e-05
aftershocks,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.00259291270527226,0.0289373585632433,2.60967144236541e-05,2.9967934310288e-05,0.0115388408560439,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.0137391209152116,3.28741904730596e-05,0.00369706065375746,0.0387840917099298,3.79233190488832e-05
brownlee,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.00245558283980933,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.106189831252974,2.34912729920834e-05,3.79233190488832e-05
damage,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.0229294829427017,4.81486831335163e-05,0.024817975416895,0.0135155383739399,0.0181136789506558,4.7463097441739e-05,4.22493556973256e-05,0.00378716862274551,0.00826536756253763,0.00989513133239094,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
gerry,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.093378234928072,2.34912729920834e-05,0.00193408927149304
john,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.012761197823987,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0592064170419803,0.0165086569786595,2.34912729920834e-05,3.79233190488832e-05
zone,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0225059186670263,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.0619070831302261,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
key,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,0.0071669277137026,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0592064170419803,0.014678428932245,2.34912729920834e-05,3.79233190488832e-05
