identifier,river_pike_south_disaster_island_people_mine,city_people_version_comments_word_large_council,made_bank_representing_chch_reserve_paper_left,insurance_council_marryatt_city_pay_tony_ami,toilet_rubble_portaloo_time_damage_portaloos_problems,aftershocks_residents_move_parking_nature_crumbling_mother,buildings_rubble_damage_people_sign_cathedral_representing,red_zone_house_areas_report_city_homes,world_cup_rugby_people_decision_damage_land,people_gambling_runs_wondering_victims_mobile_power,mayor_bob_parker_jersey_body_elections_anderton,red_zone_business_owners_allowed_black_cbd,eqc_contractors_week_list_quakes_paid_hour,john_key_finance_government_prime_billion_english,brownlee_gerry_recovery_buildings_john_damaged_key,aftershocks_liquefaction_rebuild_house_heading_people_couple,ring_ken_people_moon_march_japan_weeks
DCDL-0015511,0.3621103117506,0.00239808153477218,0.00239808153477218,0.482014388489209,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.122302158273381,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015513,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.988708539167255,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577
DCDL-0015513A,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.988708539167255,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577,0.000705716302046577
DCDL-0015518,0.191011235955056,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.378277153558052,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.378277153558052,0.00374531835205993,0.00374531835205993
DCDL-0015528,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.2663139329806,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.707231040564374,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0015616,0.00239808153477218,0.482014388489209,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.482014388489209,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
NOT-ATL-1,0.24220623501199,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.122302158273381,0.24220623501199,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.3621103117506,0.00239808153477218
NOT-ATL-93,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.751605995717345,0.00214132762312634,0.00214132762312634,0.21627408993576,0.00214132762312634
DCDL-0015512,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.465437788018433,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.465437788018433,0.00460829493087558
DCDL-0015519,0.698744769874477,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.210599721059972,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.0711297071129707,0.00139470013947001,0.00139470013947001,0.00139470013947001
