term,world_cup_rugby_damage_disaster_pike_river,newspaper_reading_march_people_news_headline_couple,people_buildings_heading_sign_refugees_called_residents,house_rebuild_home_people_building_eqc_nz,aftershocks_ring_people_moon_large_ken_continuing,rubble_city_liquefaction_boy_rebuild_asks_small,red_city_areas_black_flag_colours_green,insurance_south_year_island_company_representing_ami,portaloo_damage_portaloos_house_toilet_back_sewage,aftershocks_made_toilet_paper_great_state_bank,brownlee_gerry_recovery_key_cera_john_prime,john_key_government_prime_english_finance_bill,zone_red_business_land_homes_central_owners,council_city_marryatt_pay_tony_rise_chief,buildings_rubble_people_broken_damaged_cathedral_city,bob_parker_mayor_move_elections_anderton_body,people_version_city_mayor_council_government_parker
people,4.32825484764543e-05,0.0268963807635102,0.0623815697616436,0.0223223124133835,0.0289621550156999,6.32751202227284e-05,0.00567288249831499,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,0.00425191546686874,0.0146321557654191,0.0250374937510415,6.7778229632642e-05,0.0372363700008751
city,4.32825484764543e-05,4.13154850437944e-05,0.0199960107709185,0.00252425262324292,4.13154850437944e-05,0.0317008352315869,0.0337564592226466,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,0.0496094205433135,0.018788535244126,6.7778229632642e-05,0.0284851667104227
buildings,4.32825484764543e-05,4.13154850437944e-05,0.0449286925301685,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,0.0169063131880476,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,0.0666972171304783,6.7778229632642e-05,4.37560164522622e-05
red,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,0.0871152549988767,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,0.0505599057000926,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
aftershocks,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,0.0620145430507354,0.00955454315363199,0.00567288249831499,3.64910232082908e-05,5.36078052964512e-05,0.0447057656048427,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
brownlee,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,0.125331630146409,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
damage,0.0325051939058172,4.13154850437944e-05,0.0100229380672185,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,0.00915924682528098,0.026857510453522,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,0.0168813673486571,5.82954412964906e-05,0.018788535244126,6.7778229632642e-05,4.37560164522622e-05
gerry,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,0.115505551734303,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
john,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,0.00253051503423638,0.0246143264223249,0.0627744667503137,4.20981729392944e-05,5.82954412964906e-05,0.00837360439926679,6.7778229632642e-05,4.37560164522622e-05
key,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,0.0319838852314041,0.0608139899623588,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
cup,0.0801159972299169,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,0.00567288249831499,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
world,0.0822801246537396,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
council,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,0.0700128249970852,4.16597233794368e-05,6.7778229632642e-05,0.0262973658878096
government,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,0.0372882685069009,0.0105666414077629,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,0.0262973658878096
zone,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,0.0169063131880476,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,0.00396016311166876,0.0589795402879515,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
bob,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,0.081401653788803,0.0241095650651965
house,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,0.0322213423084538,4.13154850437944e-05,6.32751202227284e-05,0.0169063131880476,3.64910232082908e-05,0.0241771201886995,4.96179418477722e-05,4.91303920605286e-05,0.00199968632371393,0.0126715500547276,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
insurance,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,0.0620712304773026,5.36078052964512e-05,0.00253051503423638,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
mayor,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,0.00199968632371393,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,0.0712349193439067,0.0284851667104227
parker,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,0.0780127423071709,0.0262973658878096
rugby,0.0736236149584488,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,4.13154850437944e-05,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,4.96179418477722e-05,4.91303920605286e-05,3.92095357590966e-05,4.20981729392944e-05,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,4.37560164522622e-05
large,4.32825484764543e-05,4.13154850437944e-05,4.98653635185001e-05,4.94951494753514e-05,0.0268963807635102,6.32751202227284e-05,5.61671534486632e-05,3.64910232082908e-05,5.36078052964512e-05,0.0149350004961794,4.91303920605286e-05,3.92095357590966e-05,0.0168813673486571,5.82954412964906e-05,4.16597233794368e-05,6.7778229632642e-05,0.0131705609521309
