identifier,world_cup_rugby_damage_disaster_pike_river,newspaper_reading_march_people_news_headline_couple,people_buildings_heading_sign_refugees_called_residents,house_rebuild_home_people_building_eqc_nz,aftershocks_ring_people_moon_large_ken_continuing,rubble_city_liquefaction_boy_rebuild_asks_small,red_city_areas_black_flag_colours_green,insurance_south_year_island_company_representing_ami,portaloo_damage_portaloos_house_toilet_back_sewage,aftershocks_made_toilet_paper_great_state_bank,brownlee_gerry_recovery_key_cera_john_prime,john_key_government_prime_english_finance_bill,zone_red_business_land_homes_central_owners,council_city_marryatt_pay_tony_rise_chief,buildings_rubble_people_broken_damaged_cathedral_city,bob_parker_mayor_move_elections_anderton_body,people_version_city_mayor_council_government_parker
DCDL-0015511,0.00239808153477218,0.3621103117506,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.601918465227818,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015512,0.00460829493087558,0.00460829493087558,0.465437788018433,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.465437788018433,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
DCDL-0015513,0.000789265982636148,0.355958958168903,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.632202052091555,0.000789265982636148,0.000789265982636148
DCDL-0015518,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.565543071161049,0.00374531835205993,0.00374531835205993,0.378277153558052,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993
DCDL-0015519,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.0764617691154423,0.00149925037481259,0.67616191904048,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.226386806596702,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259
DCDL-0015522,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.318611987381703,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.476340694006309,0.00315457413249211,0.00315457413249211
DCDL-0015528,0.08994708994709,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.442680776014109,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.442680776014109
DCDL-0015530,0.000681663258350375,0.2733469665985,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.137014314928425,0.000681663258350375,0.000681663258350375,0.477845944103613,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.102931152010907
DCDL-0015533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.172236503856041,0.000856898029134533,0.000856898029134533,0.0437017994858612,0.000856898029134533,0.000856898029134533,0.429305912596401,0.343616109682948,0.000856898029134533
DCDL-0015539,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.24220623501199,0.00239808153477218,0.721822541966427,0.00239808153477218,0.00239808153477218
