identifier,New Index,Record Index,origin_url,title,Date,Cartoonists,Publisher,Page no,description,Authorities
DCDL-0017168,1,1,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1410005,"Scott, Thomas, 1947- :[Christchurch earthquake] 25 February 2011",25/02/2011,"Scott, Thomas",Dominion post (Newspaper),DP B6 (& 3.1.12 B4),"The cartoon shows a digger dredging through the rubble and digging up a red heart representing 'hope' (Tom Scott doesn't use colour so this is significant). A rescuer nearby yells 'Careful! It's still beating'. Context is the earthquake on 22 February 2011. There were many people trapped in collapsed buildings, with people holding out hopes of late rescues.
",Search and rescue operations (subject_authority)
DCDL-0017185,2,2,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1411183,"Slane, Christopher, 1957-:[Christchurch earthquake] 26 February 2011",05/03/2011,"Slane, Christopher",Listener (Serial),L 15,"The letters 'CHCH' are built from broken masonry and stand amongst the chaos of broken buildings. It is the usual acronym for the city of Christchurch; here however it stands for 'catastrophe', 'havoc', 'care', 'help'. Context is the 22 February 2011 6.3 magnitude earthquake in Christchurch.",Disaster relief (subject_authority)
DCDL-0017178,3,3,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1411173,[Christchurch earthquake] 27 February 2011,28/02/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper),TH 7,"The word 'CANTERBURY' is printed in large letters on the cartoon in the province's red and black stripes. The 'CAN' part of the name is in larger print and is above the rest of the word. Context is 22 February 2011 earthquake struck in Christchurch. The cartoon refers to reports of the courage, generosity and 'can do' attitude of the people has been wonderful.
",Courage (subject_authority)
DCDL-0017174,4,4,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1411164,"Bromhead, Peter, 1933-:[Christchurch earthquake] 28 February 2011",28/02/2011,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,A man representing 'Christchurch' kneels on the floor and tips out the pieces of the 'broken heart jigsaw'. He wonders where to start. Context is the 22 February 2011 6.3 magnitude earthquake in Christchurch and the challenge of repair.,Courage (subject_authority)
DCDL-0017205,5,5,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412533,"Hubbard, James, 1949- :[Christchurch earthquake] 1 March 2011",02/03/2011,"Hubbard, James",Northern advocate (Newspaper),NA A6,"As a man and a woman walk along the man comments that ""for 2 minutes yesterday people were joined as one in a spirit of caring and thoughtful reflection..."" The woman, speaking about their personal life, wonders why they only ever manage 2 minutes of that. Context - at 12.51 pm on Tuesday 1 March 2011 (exactly a week after the catastrophic Christchurch earthquake of 22 February) all of New Zealand stopped for two minutes silence.
",Memorials (subject_authority)
DCDL-0017305,6,6,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1418150,"Nisbet, Alistair, 1958-:[Handling the Christchurch earthquakes] 14 March 2011",12/03/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A23,"In a Christchurch street still covered in liquefaction a man weeps over his four-wheel drive car, which has a number plate showing the word 'macho'. Two women who are working at clearing the road of silt watch and one of them observes that 'he's not handling the quake well at all... Keeps getting silt smears on the 4 x 4!' Context - The Christchurch earthquake of 22 February 2011. Liquefaction is a particular problem. 
",Disasters - Psychological aspects (subject_authority) # Soil liquefaction (subject_authority)
DCDL-0017204,7,7,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412532,"Hubbard, James, 1949- :[Courage after the Christchurch earthquake] 28 February 2011",01/03/2011,"Hubbard, James",Otago daily times (Newspaper); Northern advocate (Newspaper),ODT 8; NA 6,"An arm representing the 'Citizens & Volunteers of Christchurch' offers an Oscar Award for 'True Grit'. Context - Admiration at the way the people and the volunteers have managed after the Christchurch earthquake of 22 February 2011. True Grit is an American Western film.
",Courage (subject_authority) # Search and rescue operations (subject_authority) # Resilience (Personality trait) # Awards (subject_authority)
DCDL-0017151,8,9,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409933,"Evans, Malcolm Paul, 1945-:[Christchurch earthquake] 23 February 2011",24/02/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper); Manawatu standard (Newspaper),MS 10; TH 6,"Someone holds a mobile phone and sends a text 'CH CH WE R ALL IN THS 2 GTHR' (Christchurch we are all in this together). Context is national support for the people impacted by the Christchurch earthquake on 22 February 2011. A National State of Emergency has been declared. 
",Empathy (subject_authority)
DCDL-0017222,9,10,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1413980,"Bromhead, Peter, 1933-:[Recovering from the Christchurch earthquake] 7 March 2011",07/03/2011,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,"A man who represents 'Chch citizens' struggles up a rough and rocky road carrying over his shoulder a huge load that represents 'a devastated city'. Three signposts ahead of him point to 'faith', 'hope' and 'charity'. Context - The struggle to rebuild the city of Christchurch after the earthquake of 22 February 2011.
",Courage (subject_authority) # Disasters - Psychological aspects (subject_authority) # Disaster relief (subject_authority)
DCDL-0017244,10,11,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1414153,"Nisbet, Alistair, 1958-:[Looters after the Christchurch earthquake] 26 February 2011",26/02/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A23,"Several rats that represent 'looters' scramble among the debris left after the Christchurch earthquake of 22 February 2011.
",Pillage (subject_authority)
