term,nz_company_canterbury_exploration_fracking_gas_oil,earthquake_canterbury_talks_commission_speaks_economic_earthquakes,christchurch_earthquake_high_house_party_including_damaged,mayor_christchurch_bob_parker_architect_river_writer,quake_christchurch_earthquake_talks_experience_feb_nz,christchurch_earthquake_city_talks_business_recovery_earthquakes,earthquake_earthquakes_talks_canterbury_university_community_lessons,nz_christchurch_civil_earthquake_national_defence_approach,earthquake_buildings_christchurch_city_building_heritage_notes,christchurch_earthquake_feb_talks_includes_sep_dunedin,christchurch_earthquake_city_people_residents_describes_quake,insurance_christchurch_earthquakes_rebuilding_executive_companies_nz
christchurch,5.50327444829674e-05,0.0209254552418091,0.0386149057137712,0.0426117870912824,0.0410597579203423,0.049614338732021,0.0138369202179754,0.0325994058035896,0.0371263781293006,0.0910049840457794,0.0749869380522932,0.0306933177218366
earthquake,5.50327444829674e-05,0.0522614115107413,0.0373285997273031,5.00726052776526e-05,0.0366636382286568,0.0393528415795865,0.0515054870545692,0.0224248097350535,0.0618669882945988,0.0409008201260515,0.0749869380522932,2.7877672771877e-05
talks,0.0220681305376699,0.0296298875387347,0.0116024799979419,5.00726052776526e-05,0.0293367720758477,0.0325118434779634,0.0339268225308254,4.06983842741443e-05,0.0139320560993335,0.0198043300545872,2.27164307943936e-05,0.0125728304201165
city,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0393528415795865,0.00504758795610356,4.06983842741443e-05,0.0371263781293006,2.63706125893305e-05,0.0306898980032257,2.7877672771877e-05
earthquakes,0.00830994441692807,0.0244072281605794,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0188298472747174,0.0364380603199317,4.06983842741443e-05,0.013158912031668,0.00793755438938847,2.27164307943936e-05,0.0279055504446489
canterbury,0.0248197677618183,0.0365934333762752,0.00774356203853773,5.00726052776526e-05,2.93074646112365e-05,0.0179747225120145,0.0226262524798473,4.06983842741443e-05,0.0154783442346647,2.63706125893305e-05,0.0136525749074305,2.7877672771877e-05
buildings,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.00429272630876845,2.51123778910625e-05,4.06983842741443e-05,0.0587744120239365,2.63706125893305e-05,0.00229435951023375,2.7877672771877e-05
nz,0.0385779538825601,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,0.0205445326924768,1.71024952540576e-05,0.0100700635343161,0.0631231940091978,1.54628813533114e-05,2.63706125893305e-05,2.27164307943936e-05,0.0167544813358981
building,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,0.0205445326924768,1.71024952540576e-05,0.00504758795610356,4.06983842741443e-05,0.0317143696556416,2.63706125893305e-05,0.00229435951023375,0.0153605976973042
feb,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,0.0249406523841622,0.00600297583417421,2.51123778910625e-05,4.06983842741443e-05,0.007746903558009,0.0237599219429867,0.00910928874855183,2.7877672771877e-05
quake,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,0.0571788634565224,1.71024952540576e-05,0.00504758795610356,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,0.0181958610663093,2.7877672771877e-05
insurance,5.50327444829674e-05,0.00699836356672818,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,1.71024952540576e-05,2.51123778910625e-05,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,2.27164307943936e-05,0.0711159432410582
