ID,identifier,PublishingDate,Date (DDMMYYYY),Month,Issued,Publisher,Author,Author (detailed),Title,description,Titel_quake,cera,aftershock,red-zone,liquefaction,Brownlee,BobParker,christchurchANDrebuild,eqc,canterburyANDquake,christchurchANDquake,EQ_Score,Summary_Score
8494,INNZ-8494,20100906,06/09/2010,2010-09,"""6 Sep 2010; p.1,6""","""Otago daily times""","""Butterfield, Tania""","""Tania Butterfield""","""Sense of disbelief in wake of night-time devastation; Shaky sense of disbelief""","""Reports on her tour of the city in the aftermath of the destructive earthquake in Canterbury on 4 Sep 2010. Talks to local residents and family members about their experiences.""",0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.1
8668,INNZ-8668,20100911,11/09/2010,2010-09,"""11 Sep 2010; p.B1-2""","""Dominion post (Wellington, N.Z.)""","""Beaumont, Nathan""","""Nathan Beaumont""","""Brace yourselves, Wellington; High time for Wellingtonians to brace themselves""","""Reminds that the capital city is considered overdue for a large earthquake, explaining the three fault lines that lie below it. Presents risk modelling estimates, and a possible scenario, for an earthquake of the magnitude that struck Christchurch. Describes the Wellington Earthquake National Initial Response Plan and illustrates the estimated time taken for recovery of services. Details damage caused by the 1942 earthquake centred over Masterton. Alludes to the general unpreparedness of city residents.""",0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0.1
8841,INNZ-8841,20100912,12/09/2010,2010-09,"""12 Sep 2010; n.310:p.37-41""","""New Zealand herald""","""Morton, Frances""","""Frances Morton [and others]""","""When will it stop?; Canterbury tales; 'If I'm going to die I want to die with Jo'""","""Traces the week after the Canterbury earthquake for Christchurch residents. Talks to a number of people about their experiences. Provides a graph to illustrate the number of aftershocks that hit the region in the week. Presents columnist Paul Holmes' personal narrative about his visit to Christchurch after the quake, and Christchurch mayor Bob Parker's experience.""",0,0,1,0,0,0,1,0,0,1,1,0.36363636363636365,0.3
8875,INNZ-8875,20101205,05/12/2010,2010-12,"""12 Sep 2010; n.310:sup.p.7""","""New Zealand herald""","""Cone, Deborah Hill""","""Deborah Hill Cone""","""Shaky ground""","""Looks at how NZ's two main television networks, TVNZ and TV3, covered the Canterbury earthquake. Talks to TV3's Mark Jennings, long-time television journalist Janet Wilson, and journalism professor Jim Tully for their opinions about the coverage.""",0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.1
9051,INNZ-9051,20100918,18/09/2010,2010-09,"""18 Sep 2010; v.225 n.3671:p.8-13""","""Listener (Wellington, N.Z.)""","""Laugesen, Ruth""","""Ruth Laugesen""","""Aftershocked""","""Looks at the chances of another magnitude 7 or more earthquake hitting NZ after the Canterbury earthquake and the possibility of predicting earthquakes. Touches on preparing for a big earthquake for the public and local authorities. Provides a map showing 10 years of shallow earthquakes in NZ.""",0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.1
9147,INNZ-9147,20100918,18/09/2010,2010-09,"""18 Sep 2010; v.225 n.3671:p.14""","""Listener (Wellington, N.Z.)""","""MacFie, Rebecca""","""Rebecca MacFie""","""When tomorrow came""","""Presents the author's personal experience of the Canterbury earthquake.""",0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.1
9181,INNZ-9181,20100918,18/09/2010,2010-09,"""18 Sep 2010; v.225 n.3671:p.15-17""","""Listener (Wellington, N.Z.)""","""Lomas, David""","""David Lomas""","""'Run for your lives!'""","""Recalls the aftermath of the 1968 Inangahua earthquake and talks to some of the survivors who also experienced the Canterbury earthquake (4 September 2010). Touches on the Modified Mercalli (MM) intensity scale and how it has been applied to major NZ earthquakes.""",0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.1
9201,INNZ-9201,20100911,11/09/2010,2010-09,"""11 Sep 2010; p.C3""","""Press (Christchurch, N.Z.)""","""Matthews, Philip""","""Philip Matthews""","""Quake a virtual reality""","""Reports on how news of the earthquake in Canterbury was reported in NZ and throughout the world via text messages, blogs, Internet news sites and other social networking media.""",1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.2
9217,INNZ-9217,20100911,11/09/2010,2010-09,"""11 Sep 2010; p.C4-7""","""Press (Christchurch, N.Z.)""","""Van Beynen, Martin""","""Martin van Beynen""","""The day of reckoning; Amazing response""","""Reflects on the events of the past week since the magnitude 7.1 earthquake struck the region at 4.35 am on Saturday, 4 Sep 2010. Comments on the terror of the event and the multiple aftershocks, and the miracle that no one was killed and very few people were seriously injured despite the severity of the quake. Praises the rapid response of the population and emergency services and the relatively quick recovery of infrastructure and most businesses. Talks to people about how they are coping in the aftermath of the event, and describes the damage to homes and some historic buildings. Touches on future priorities for the region.""",0,0,1,0,0,0,0,0,0,0,0,0.09090909090909091,0
9231,INNZ-9231,20100911,11/09/2010,2010-09,"""11 Sep 2010; p.C8-9""","""Press (Christchurch, N.Z.)""","""McCrone, John""","""John McCrone""","""Focus on self-help best answer""","""Reports on the psychological effects of the 4 Sep earthquake for residents of the region, and the adjustments they will need to make in the coming weeks and months to cope with the aftermath. Talks to several psychologists and to residents Marge Straw and Peter Straw, to Bishop of Christchurch Victoria Matthews and Burwood-Pegasus community board chairman David East.""",0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0.1
