term,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
athenians,0.0166190855056863,0.0127340612094812,0.0213561763646653,0.0187634345566108,0.0329258896049314,0.0117601844734819,0.0277040656874165,0.00339799690373132,0.0197547403132729,0.0181452760387023,0.0109843642442718,0.0162810135491818
ships,4.68011419478635e-06,5.65706850709962e-06,0.0313885887739878,3.90823465040841e-06,3.50238161950126e-06,0.00746484604602794,0.0123618490212234,1.57972891851758e-06,0.047578318219291,3.55719977233921e-06,3.27793621136133e-06,4.39908499032201e-06
war,0.0203631768615154,5.65706850709962e-06,0.00309204095282194,3.90823465040841e-06,0.0169900532362006,0.0174119455622372,0.000144898712958491,0.0113756279422451,3.43500961802693e-06,0.00373861696072851,0.00918149932802308,4.39908499032201e-06
lacedaemonians,0.0191931483128188,5.65706850709962e-06,5.1448268765756e-06,3.90823465040841e-06,0.0304742224712805,4.52140887100421e-06,0.00369633775605876,0.00339799690373132,0.00206444078043419,0.00818511667615253,0.00606745992722982,0.0112220658103115
allies,0.0175551083446436,5.65706850709962e-06,0.00772238514173998,3.90823465040841e-06,0.0211929111796021,0.0137948184654338,0.006963661675711,0.00576759028150769,3.43500961802693e-06,3.55719977233921e-06,3.27793621136133e-06,0.0134216083054725
athens,0.00796087424533159,0.00566272557560672,0.00823686782939754,3.90823465040841e-06,0.0176905295601009,0.00452593027987521,2.84115123448021e-06,0.00481975293039714,0.00446894751305304,0.00765153671030165,0.00229783328416429,0.00682298081998944
city,4.68011419478635e-06,0.0118855009334163,5.1448268765756e-06,0.0144643764411615,0.0033307649201457,0.00746484604602794,2.84115123448021e-06,0.00758427853780291,3.43500961802693e-06,3.55719977233921e-06,0.00672304716950208,0.0110021115607954
men,4.68011419478635e-06,0.00707699270238163,0.00180583423367804,0.00840661273302849,0.00438147940599608,4.52140887100421e-06,0.0100889280336392,0.00837414299706171,3.43500961802693e-06,0.00356075697211155,0.00770642803291048,0.00198398733063523
made,0.00468479430898114,0.00339989817276687,0.00257755826516438,0.00703873060538555,0.0117364808069487,4.52140887100421e-06,0.00525897093502287,0.00395090202521247,0.00773220665017862,0.00320503699487763,0.00246173009473236,0.00682298081998944
enemy,4.68011419478635e-06,5.65706850709962e-06,5.1448268765756e-06,0.00254426075741588,0.00420636032502101,4.52140887100421e-06,0.0180441514901838,0.00268711889039841,0.00189269029953284,0.00356075697211155,0.0162290621824499,4.39908499032201e-06
