term,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
τις,0.00674882761039346,0.0116343768959696,0.0167721223248987,0.00763849041108871,0.0199765469074794,0.00772798751480438,0.0298747638704261,0.0114856021847823,3.42455198298683e-06,5.45229514364072e-06,0.00851472856847272,0.0161554671037228
ἄλλος,0.0197878682966966,0.00566158140763072,0.0027541243149047,0.00579598755520928,0.0139795272967938,0.0200072090913772,0.0166891808254713,0.0105171702973639,0.0118181288932875,0.00981958355369693,0.0117886168214998,0.0166000314158781
πολύς,0.0272066328251105,0.00896233680908116,0.0164972596188204,0.0121131402039387,0.0127714945694614,0.00911435124119164,0.0193801161407682,0.0141142030220609,0.00377043173326849,0.00600297695314843,0.0150625050745268,0.00637505223630668
ὡς,0.00450071714723775,0.00739054852267619,0.00742679031823604,0.00816491979848283,0.00931997249136904,0.0110948708503163,0.0188419290777088,0.00899534875999214,0.0183247776609625,0.00927435403933286,0.0175506601468273,0.0235648723063107
ὅς,0.00922174911986475,0.0064474755508332,0.0118245936154891,0.00921777857327108,0.0176899135307431,0.00852019535845424,0.004849065438165,0.010932212534829,0.0125030392898849,0.00818389501060472,0.00943141727932029,0.0099315667335489
ναῦς,4.49622092631143e-06,3.14357657280995e-06,0.0140234952641156,5.26429387394122e-06,0.000302871062352609,0.0413968208699234,5.38187063059378e-06,0.0304391976956855,0.0761997061734399,5.45229514364072e-06,2.61911060242163e-06,0.00104028049044335
πρός,0.00764807179565575,0.0210651066143995,0.00825137843647098,0.00790170510478577,0.0116928939200576,0.00376694829655508,0.00592543956428375,0.0185413202216879,0.0066813009188073,0.00491251792442029,0.0108719281106522,0.0066714284444102
γίγνομαι,0.0125939148145983,0.0136777016682961,0.0104502800850975,0.0321174569249154,0.0105280052187014,3.9610392182493e-06,0.0115764037264072,0.00954873840994552,0.00154447294432706,0.00600297695314843,0.00838377303835163,0.0120062001902735
ἔχω,0.0105706153977582,0.00959105212364315,0.00522788866960953,0.00447991408672398,0.0115203178161529,0.00792603947571685,0.00915456194264002,0.00913369617248048,0.00942094250519676,0.0144540344257915,0.00943141727932029,0.00681961654846196
δ,0.0105706153977582,0.00786208500859768,0.00990055467294087,0.01737743407788,0.00668818690682357,0.015650065951303,5.38187063059378e-06,0.00968708582243386,0.0095921701043461,0.00218637035259993,0.0119195723516208,0.0105243191497559
πόλις,0.0184390020188032,0.00361825663530425,0.00962569196686255,0.00211098184345043,0.00880224417965518,0.00297474045290522,0.0148055261047635,0.0103788228848756,3.42455198298683e-06,0.00845650976778675,0.0100861949299257,0.00518954740389261
πρότερος,0.0141675921388073,0.0103769462668456,5.49725412156628e-06,0.0129027842850299,0.00384068119239733,0.00653967574932959,0.0115764037264072,0.00456823156036513,0.00496902492731388,0.010637427825243,0.0107409725805311,0.0133398931267394
σφεῖς,4.49622092631143e-06,0.0149351322974201,5.49725412156628e-06,0.00447991408672398,0.00362496106251656,0.000202013000130714,0.0142673390417041,0.00719683239764367,0.00377043173326849,0.0114552720967891,0.0104790615202889,0.0168964076239816
ἀθηναίων,0.00427590610092217,0.00959105212364315,0.0184212985613686,0.0102706373480593,0.000950031451994937,0.0154520139903905,0.00807818781652127,0.00415318932290009,0.00616761812135927,0.010364813068061,0.00772899538774623,0.00830149758897955
ποιέω,0.00719844970302461,0.018707424184792,0.00742679031823604,0.00895456387957401,0.00422897742618273,3.9610392182493e-06,0.0096927490056994,0.0063667479227136,0.0101058529017941,0.00463990316723825,2.61911060242163e-06,0.00978337862949714
ὅστις,0.00360147296197546,0.0106913039241266,5.49725412156628e-06,0.00447991408672398,0.00949254859527366,0.000994220843780574,0.004849065438165,2.76694824976688e-06,0.00599639052220993,5.45229514364072e-06,0.00262172971302405,0.0179337243523439
σύμμαχος,4.49622092631143e-06,0.0287668692177838,0.000555222666278194,0.0107970667354534,0.00448784158203966,0.0162442218340404,5.38187063059378e-06,0.0004178091857148,0.00154447294432706,0.0128183458826993,0.00615752902629325,2.96376208103518e-06
πᾶς,0.00787288284197132,3.14357657280995e-06,0.00440330055137459,0.00474312878042104,0.00862966807575056,0.00752993555389192,0.00377269131204624,0.00498327379783016,0.00514025252646323,0.00763866549624064,0.00746708432750407,0.00622686413225492
ἀθηναῖοι,0.00360147296197546,0.00817644266587868,0.0230939645646999,0.00842813449217989,0.000777455348090316,0.010104611045754,5.38187063059378e-06,0.00747352722262036,0.00770866651370334,0.00573036219596639,0.0086456840985938,0.0091906262132901
πόλεμος,0.0125939148145983,0.0130489863537341,5.49725412156628e-06,0.0268531630509742,0.00509185794570583,0.00218253260925536,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,2.61911060242163e-06,0.00237397342690918
βούλομαι,4.49622092631143e-06,0.00786208500859768,0.000555222666278194,5.26429387394122e-06,0.00401325729630195,3.9610392182493e-06,0.00942365547416971,0.00387649449792341,0.00582516292306059,0.00872912452496879,0.00393128501423487,0.0120062001902735
μέγας,0.0110202374903893,0.00173211069161828,5.49725412156628e-06,0.00132133776235925,0.00871595612770287,3.9610392182493e-06,5.38187063059378e-06,0.0114856021847823,3.42455198298683e-06,0.00191375559541789,0.0030145963033873,2.96376208103518e-06
ἦδος,4.49622092631143e-06,0.00487568726442823,0.000830085372356508,5.26429387394122e-06,0.00384068119239733,0.000994220843780574,0.00619453309581344,0.00415318932290009,0.00616761812135927,0.00327682938132807,0.0116576612913787,0.00815330948492779
μᾶλλον,0.00157817354513531,0.00298954132074226,0.000555222666278194,5.26429387394122e-06,0.0101828530108921,3.9610392182493e-06,0.00296541071745717,2.76694824976688e-06,0.00274306613837245,5.45229514364072e-06,0.00445510713471919,0.00563411171604788
ἅμα,4.49622092631143e-06,0.00267518366346127,5.49725412156628e-06,0.0123763548976358,0.00405640132227811,0.00554941594476727,5.38187063059378e-06,0.00567501086027188,0.00531148012561257,0.00600297695314843,0.00694326220701974,0.00355947825932325
πλέω,0.00112855145250417,3.14357657280995e-06,0.00247926160882639,5.26429387394122e-06,0.00418583340020657,0.00772798751480438,5.38187063059378e-06,0.00442988414787678,0.0202082812516053,0.00191375559541789,0.00275268524314513,0.00237397342690918
ὅσος,0.0096713712124959,0.00471850843578773,0.00522788866960953,5.26429387394122e-06,0.00556644223144354,0.00436110417929248,0.00404178484357593,0.00470657897285347,0.00188692814262574,5.45229514364072e-06,0.00288364077326621,0.00252216153096094
δοκέω,4.49622092631143e-06,0.00346107780666375,5.49725412156628e-06,5.26429387394122e-06,0.00720591521853743,3.9610392182493e-06,0.00754000075346189,0.00304641002299334,0.00205815574177508,5.45229514364072e-06,0.00144312994193432,0.00756055706872075
ἐκεῖνος,4.49622092631143e-06,0.00581876023627122,5.49725412156628e-06,0.000268478987571002,0.00539386612753892,0.00119227280469304,0.00754000075346189,0.00193963072308659,3.42455198298683e-06,0.00109591132387178,0.00209790759253973,0.011117071565963
οὐδείς,4.49622092631143e-06,0.00314672014938276,0.00825137843647098,0.00158455245605631,0.0048329937898489,3.9610392182493e-06,0.0110382166633478,0.00138624107313321,0.0017157005434764,5.45229514364072e-06,0.00419319607447703,0.00652324034035844
μάλιστα,0.00157817354513531,3.14357657280995e-06,5.49725412156628e-06,0.00342705531193573,0.00466041768594428,0.00455915614020494,0.0134600584471151,0.00525996862280685,3.42455198298683e-06,0.00191375559541789,0.0030145963033873,0.00430041877958205
ἀνήρ,4.49622092631143e-06,0.00487568726442823,0.012649181733724,5.26429387394122e-06,0.00323666482873116,3.9610392182493e-06,0.0105000296002885,0.00304641002299334,0.00411288693156718,0.00245898510978196,2.61911060242163e-06,0.00711599275656547
πάρειμι,4.49622092631143e-06,0.00361825663530425,5.49725412156628e-06,5.26429387394122e-06,0.00513500197168199,0.00218253260925536,5.38187063059378e-06,2.76694824976688e-06,0.00599639052220993,0.00164114083823586,0.00275268524314513,0.0106725072538077
νομίζω,4.49622092631143e-06,0.00786208500859768,5.49725412156628e-06,5.26429387394122e-06,0.00578216236132431,3.9610392182493e-06,0.00188903659133842,2.76694824976688e-06,3.42455198298683e-06,0.00463990316723825,0.00576466243593001,0.00430041877958205
ἐπεί,4.49622092631143e-06,0.00267518366346127,0.00522788866960953,0.00158455245605631,0.00151090378968495,0.00218253260925536,0.00780909428499158,0.00484492638534182,0.00325674893582047,0.00354944413851011,0.00589561796605109,0.00756055706872075
ἄρχω,4.49622092631143e-06,0.00298954132074226,5.49725412156628e-06,0.0105338520417564,0.00371124911446887,0.00337084437473015,5.38187063059378e-06,0.00304641002299334,0.00907848730689807,0.00545774743878436,2.61911060242163e-06,0.00326310205121974
ἔρχομαι,4.49622092631143e-06,0.00408979312122574,0.00687706490607941,0.00395348469932986,0.00263264846506499,0.00238058457016783,0.00538725250122438,2.76694824976688e-06,0.00514025252646323,0.00791128025342268,0.00288364077326621,0.00518954740389261
νῦν,0.0119194816756516,0.000789037719775297,5.49725412156628e-06,5.26429387394122e-06,0.00875910015367902,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,0.00170504100217648,2.96376208103518e-06
καθίστημι,0.00270222877671317,0.00188928952025878,5.49725412156628e-06,0.0115867108165446,0.00453098560801581,3.9610392182493e-06,0.004849065438165,2.76694824976688e-06,0.00274306613837245,0.00491251792442029,0.00445510713471919,0.00089209238639159
ἀθηναίους,4.49622092631143e-06,0.0147779534687796,5.49725412156628e-06,0.00395348469932986,0.0023306402832319,3.9610392182493e-06,5.38187063059378e-06,0.00180128331059824,3.42455198298683e-06,0.00763866549624064,0.00222886312266081,0.00607867602820316
εὐθύς,4.49622092631143e-06,0.00283236249210176,0.00357871243313965,0.00763849041108871,0.000777455348090316,0.00416305221838001,0.00431087837510562,0.00318475743548168,0.00496902492731388,0.00300421462414603,0.00537179584556676,0.00637505223630668
λέγω,0.00292703982302874,0.00251800483482077,5.49725412156628e-06,5.26429387394122e-06,0.0035818170365404,3.9610392182493e-06,0.004849065438165,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,0.000133574640723503,0.019119229184758
ἀλλ,0.00180298459145089,0.00330389897802326,0.00247926160882639,5.26429387394122e-06,0.00612731456913356,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,0.00188692814262574,5.45229514364072e-06,0.00353841842387162,0.00474498309173733
πολέμιος,4.49622092631143e-06,0.00440415077850674,5.49725412156628e-06,5.26429387394122e-06,0.00552329820546738,3.9610392182493e-06,0.00431087837510562,0.00498327379783016,3.42455198298683e-06,0.00382205889569214,0.00288364077326621,2.96376208103518e-06
ὕστερος,0.00764807179565575,0.00456132960714724,0.0137486325580373,5.26429387394122e-06,0.000863743400042626,3.9610392182493e-06,0.00754000075346189,2.76694824976688e-06,0.00565393532391125,0.00845650976778675,0.00196695206241864,2.96376208103518e-06
λόγος,4.49622092631143e-06,0.0067618332081142,5.49725412156628e-06,5.26429387394122e-06,0.00586845041327663,3.9610392182493e-06,0.00457997190663531,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,2.61911060242163e-06,0.00504135929984085
χωρέω,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,0.00421669939302692,0.00142461573773264,0.00317279241381769,5.38187063059378e-06,0.00622840051022526,3.42455198298683e-06,0.0065482064675125,0.0124433944721052,2.96376208103518e-06
ἕκαστος,0.0056247723788156,0.00236082600618027,0.00440330055137459,0.00342705531193573,0.00435840950411119,0.00178642868743043,5.38187063059378e-06,0.00221632554806327,0.00205815574177508,5.45229514364072e-06,0.00196695206241864,0.000743904282339831
παρασκευάζω,4.49622092631143e-06,3.14357657280995e-06,0.000555222666278194,0.00263741123084455,0.00211492015335113,0.0093124032021041,5.38187063059378e-06,0.00470657897285347,0.00616761812135927,0.00463990316723825,0.00131217441181324,0.00252216153096094
ἐπ,4.49622092631143e-06,0.00251800483482077,0.0140234952641156,0.00842813449217989,0.00246007236116037,0.00515331202294234,5.38187063059378e-06,0.00276971519801665,0.00274306613837245,5.45229514364072e-06,2.61911060242163e-06,2.96376208103518e-06
ὀλίγος,4.49622092631143e-06,3.14357657280995e-06,0.00605247678784447,0.00105812306866218,0.00220120820530344,0.00634162378841713,0.00619453309581344,0.00567501086027188,0.00188692814262574,5.45229514364072e-06,0.00445510713471919,2.96376208103518e-06
πείθω,4.49622092631143e-06,0.00424697194986624,5.49725412156628e-06,5.26429387394122e-06,0.00254636041311268,0.00337084437473015,0.00431087837510562,2.76694824976688e-06,3.42455198298683e-06,0.00927435403933286,2.61911060242163e-06,0.00933881431734186
λακεδαιμόνιοι,4.49622092631143e-06,0.0132061651823746,5.49725412156628e-06,0.0126395695913329,0.00159719184163726,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,0.00120201774602838,0.00136852608105382,0.00183599653229756,0.00222578532285742
τεῖχος,4.49622092631143e-06,0.00110339537705629,0.00742679031823604,5.26429387394122e-06,8.62880519523103e-07,3.9610392182493e-06,0.00350359778051655,0.0146675926720143,3.42455198298683e-06,5.45229514364072e-06,0.00694326220701974,0.000151151866132794
λαμβάνω,4.49622092631143e-06,3.14357657280995e-06,0.0107251427911758,5.26429387394122e-06,0.00168347989358957,3.9610392182493e-06,0.0024272236543978,0.00318475743548168,0.00616761812135927,0.00682082122469454,0.00249077418290297,0.00237397342690918
