identifier,text
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.1,thucydides an athenian wrote the history of the war between the peloponnesians and the athenians beginning at the moment that it broke out and believing that it would be a great war and more worthy of relation than any that had preceded it this belief was not without its grounds the preparations of both the combatants were in every department in the last state of perfection and he could see the rest of the hellenic race taking sides in the quarrel those who delayed doing so at once having it in contemplation
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.2,indeed this was the greatest movement yet known in history not only of the hellenes but of a large part of the barbarian world i had almost said of mankind
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.3,for though the events of remote antiquity and even those that more immediately precede the war could not from lapse of time be clearly ascertained yet the evidences which an inquiry carried as far back as was practicable leads me to trust all point to the conclusion that there was nothing on a great scale either in war or in other matters
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.1,for instance it is evident that the country now called hellas had in ancient times no settled population on the contrary migrations were of frequent occurrence the several tribes readily abandoning their homes under the pressure of superior numbers
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.2,without commerce without freedom of communication either by land or sea cultivating no more of their territory than the exigencies of life required destitute of capital never planting their land for they could not tell when an invader might not come and take it all away and when he did come they had no walls to stop him thinking that the necessities of daily sustenance could be supplied at one place as well as another they cared little for shifting their habitation and consequently neither built large cities nor attained to any other form of greatness
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.3,the richest soils were always most subject to this change of masters such as the district now called thessaly boeotia most of the peloponnese arcadia excepted and the most fertile parts of the rest of hellas
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.4,the goodness of the land favoured the aggrandizement of particular individuals and thus created faction which proved a fertile source of ruin it also invited invasion
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.5,accordingly attica from the poverty of its soil enjoying from a very remote period freedom from faction never changed its inhabitants
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.6,and here is no inconsiderable exemplification of my assertion that the migrations were the cause of there being no correspondent growth in other parts the most powerful victims of war or faction from the rest of hellas took refuge with the athenians as a safe retreat and at an early period becoming naturalized swelled the already large population of the city to such a height that attica became at last too small to hold them and they had to send out colonies to ionia
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.3.1,there is also another circumstance that contributes not a little to my conviction of the weakness of ancient times before the trojan war there is no indication of any common action in hellas
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.3.2,nor indeed of the universal prevalence of the name on the contrary before the time of hellen son of deucalion no such appellation existed but the country went by the names of the different tribes in particular of the pelasgian it was not till hellen and his sons grew strong in phthiotis and were invited as allies into the other cities that one by one they gradually acquired from the connection the name of hellenes though a long time elapsed before that name could fasten itself upon all
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.3.3,the best proof of this is furnished by homer born long after the trojan war he nowhere calls all of them by that name nor indeed any of them except the followers of achilles from phthiotis who were the original hellenes in his poems they are called danaans argives and achaeans he does not even use the term barbarian probably because the hellenes had not yet been marked off from the rest of the world by one distinctive appellation
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.3.4,it appears therefore that the several hellenic communities comprising not only those who first acquired the name city by city as they came to understand each other but also those who assumed it afterwards as the name of the whole people were before the trojan war prevented by their want of strength and the absence of mutual intercourse from displaying any collective action indeed they could not unite for this expedition till they had gained increased familiarity with the sea
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.4.1,and the first person known to us by tradition as having established a navy is minos he made himself master of what is now called the hellenic sea and ruled over the cyclades into most of which he sent the first colonies expelling the carians and appointing his own sons governors and thus did his best to put down piracy in those waters a necessary step to secure the revenues for his own use
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.5.1,for in early times the hellenes and the barbarians of the coast and islands as communication by sea became more common were tempted to turn pirates under the conduct of their most powerful men the motives being to serve their own cupidity and to support the needy they would fall upon a town unprotected by walls and consisting of a mere collection of villages and would plunder it indeed this came to be the main source of their livelihood no disgrace being yet attached to such an achievement but even some glory
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.5.2,an illustration of this is furnished by the honor with which some of the inhabitants of the continent still regard a successful marauder and by the question we find the old poets everywhere representing the people as asking of voyagers are they pirates as if those who are asked the question would have no idea of disclaiming the imputation or their interrogators of reproaching them for it
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.5.3,the same rapine prevailed also by land and even at the present day many parts of hellas still follow the old fashion the ozolian locrians for instance the aetolians the acarnanians and that region of the continent and the custom of carrying arms is still kept up among these continentals from the old piratical habits
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.1,the whole of hellas used once to carry arms their habitations being unprotected and their communication with each other unsafe indeed to wear arms was as much a part of everyday life with them as with the barbarians
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.2,and the fact that the people in these parts of hellas are still living in the old way points to a time when the same mode of life was once equally common to all
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.3,the athenians were the first to lay aside their weapons and to adopt an easier and more luxurious mode of life indeed it is only lately that their rich old men left off the luxury of wearing undergarments of linen and fastening a knot of their hair with a tie of golden grasshoppers a fashion which spread to their ionian kindred and long prevailed among the old men there
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.4,on the contrary a modest style of dressing more in conformity with modern ideas was first adopted by the lacedaemonians the rich doing their best to assimilate their way of life to that of the common people
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.5,they also set the example of contending naked publicly stripping and anointing themselves with oil in their gymnastic exercises formerly even in the olympic contests the athletes who contended wore belts across their middles and it is but a few years since that the practice ceased to this day among some of the barbarians especially in asia when prizes for boxing and wrestling are offered belts are worn by the combatants
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.6.6,and there are many other points in which a likeness might be shown between the life of the hellenic world of old and the barbarian of today
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.7.1,with respect to their towns later on at an era of increased facilities of navigation and a greater supply of capital we find the shores becoming the site of walled towns and the isthmuses being occupied for the purposes of commerce and defence against a neighbor but the old towns on account of the great prevalence of piracy were built away from the sea whether on the islands or the continent and still remain in their old sites for the pirates used to plunder one another and indeed all coast populations whether seafaring or not
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.8.1,the islanders too were great pirates these islanders were carians and phoenicians by whom most of the islands were colonized as was proved by the following fact during the purification of delos by athens in this war all the graves in the island were taken up and it was found that above half their inmates were carians they were identified by the fashion of the arms buried with them and by the method of interment which was the same as the carians still follow
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.8.2,but as soon as minos had formed his navy communication by sea became easier as he colonized most of the islands and thus expelled the malefactors
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.8.3,the coast populations now began to apply themselves more closely to the acquisition of wealth and their life became more settled some even began to build themselves walls on the strength of their newlyacquired riches for the love of gain would reconcile the weaker to the dominion of the stronger and the possession of capital enabled the more powerful to reduce the smaller towns to subjection
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.8.4,and it was at a somewhat later stage of this development that they went on the expedition against troy
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.9.1,what enabled agamemnon to raise the armament was more in my opinion his superiority in strength than the oaths of tyndareus which bound the suitors to follow him
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.9.2,indeed the account given by those peloponnesians who have been the recipients of the most credible tradition is this first of all pelops arriving among a needy population from asia with vast wealth acquired such power that stranger though he was the country was called after him and this power fortune saw fit materially to increase in the hands of his descendants eurystheus had been killed in attica by the heraclids atreus was his mother s brother and to the hands of his relation who had left his father on account of the death of chrysippus eurystheus when he set out on his expedition had committed mycenae and the government as time went on and eurystheus did not return atreus complied with the wishes of the mycenaeans who were influenced by fear of the heraclids besides his power seemed considerable and he had not neglected to court the favour of the populace and assumed the sceptre of mycenae and the rest of the dominions of eurystheus and so the power of the descendants of pelops came to be greater than that of the descendants of perseus
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.9.3,to all this agamemnon succeeded he had also a navy far stronger than his contemporaries so that in my opinion fear was quite as strong an element as love in the formation of the confederate expedition
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.9.4,the strength of his navy is shown by the fact that his own was the largest contingent and that of the arcadians was furnished by him this at least is what homer says if his testimony is deemed sufficient besides in his account of the transmission of the sceptre he calls him of many an isle and of all argos king hom il now agamemnon s was a continental power and he could not have been master of any except the adjacent islands and these would not be many but through the possession of a fleet and from this expedition we may infer the character of earlier enterprises
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.10.1,now mycenae may have been a small place and many of the towns of that age may appear comparatively insignificant but no exact observer would therefore feel justified in rejecting the estimate given by the poets and by tradition of the magnitude of the armament
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.10.2,for i suppose if lacedaemon were to become desolate and the temples and the foundations of the public buildings were left that as time went on there would be a strong disposition with posterity to refuse to accept her fame as a true exponent of her power and yet they occupy twofifths of peloponnese and lead the whole not to speak of their numerous allies without still as the city is neither built in a compact form nor adorned with magnificent temples and public edifices but composed of villages after the old fashion of hellas there would be an impression of inadequacy whereas if athens were to suffer the same misfortune i suppose that any inference from the appearance presented to the eye would make her power to have been twice as great as it is
