identifier,text
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.1,θουκυδίδης ἀθηναῖος συγγράφω ὁ πόλεμος ὁ πελοποννησίων καί ἀθηναίων ὡς πολεμέω πρός ἀλλήλων ἄρχω εὐθύς καθίστημι καί ἐλπίζω μέγας τε εἰμί καί ἀξιόλογος ὁ προγίγνομαι τεκμαίρομαι ὅστις ἀκμάζω τε οἶδα εἰς αὐτός ἀμφότερος παρασκευάζω ὁ πᾶς καί ὁ ἄλλος ἑλληνικός ὁράω συνίστημι πρός ἑκάτερος ὁ μέν εὐθύς ὁ δέ καί διανοέομαι
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.2,κίνησις γάρ οὗτος μέγας δή ὁ ἕλλησιν γίγνομαι καί μέρος τις ὁ βάρβαρος ὡς δέ εἶπον καί ἐπί πλεῖστος ἄνθρωπος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.3,ὁ γάρ πρό αὐτός καί ὁ ἔτι παλαιός σαφής μέν εὑρίσκω διά χρόνος πλῆθος ἀδύνατος εἰμί ἐκ δέ τεκμήριον ὅς ἐπί μακρός σκοπέω ἐγώ πιστεύω συμβαίνω οὐ μέγας νομίζω γίγνομαι οὔτε κατά ὁ πόλεμος οὔτε εἰς ὁ ἄλλος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.1,φαίνω γάρ ὁ νῦν ἑλλά καλέω οὐ πάλλω βέβαιος οἰκουμένη ἀλλά μετανίστημι τε εἰμί ὁ πρότερος καί ῥᾳδίως ἕκαστος ὁ ἑαυτοῦ ἀπολιμπάνω βιάζω ὑπό τις ἀεί πλείων
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.2,ὁ γάρ ἐμπορία οὐ εἰμί οὐδ ἐπιμίγνυμι ἀδεής ἀλλήλων οὔτε κατά γαῖα οὔτε διά θάλασσα νέμω τε ὁ ἑαυτοῦ ἕκαστος ὅσος ἀποζέω καί περιουσία χρῆμα οὐ ἔχω οὐδός γαῖα φυτεύω ἄδηλος εἰμί ὁπότε τις ἐπέρχομαι καί ἀτείχιστος ἅμα εἰμί ἄλλος ἀφαιρέω ὁ τε καθ ἡμέρα ἀναγκαῖος τροφή πανταχοῦ ἐάν ἡγέομαι ἐπικρατέω οὐ χαλεπός ἀπανίστημι καί δι αὐτός οὔτε μέγεθος πολύς ἰσχύω οὔτε ὁ ἄλλος παρασκευάζω
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.3,μάλιστα δέ ὁ γῆ ὁ ἄριστος ἀεί ὁ μεταβολή ὁ οἰκήτωρ ἔχω ὁ τε νῦν θεσσαλία καλέω καί βοιωτία πελοποννήσου τε ὁ πολύς πλήν ἀρκαδίας ὁ τε ἄλλος ὅσος εἰμί κράτιστος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.4,διά γάρ ἀρετή γῆ ὁ τε δύναμις τις μέγας ἐγγίγνομαι ἵστημι ἐμποιέω ἐκ ὅς φθείρω καί ἅμα ὑπό ἀλλόφυλος μᾶλλον ἐπιβουλεύω
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.5,ὁ γοῦν ἀττικὴν ἐκ ὁ ἐπί πλεῖστος διά ὁ λεπτόγειος ἀστασίαστος εἰμί ἄνθρωπος οἰκέω ὁ αὐτός ἀεί
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.6,καί παράδειγμα ὅδε ὁ λόγος οὐ ἐλάχιστος εἰμί διά ὁ μετοικία εἰς ὁ ἄλλος μή ὅμοιος αὐξάνω ἐκ γάρ ὁ ἄλλος ἑλλάδος ὁ πόλεμος ἤ ἵστημι ἐκπίτνω παρ ἀθηναίους ὁ δυνατός ὡς βέβαιος εἰμί ἀναχωρέω καί πολίτης γίγνομαι εὐθύς ἀπό παλαιός μέγας ἔτι ποιέω πλῆθος ἄνθρωπος ὁ πόλις ὥστε καί εἰς ἰωνίαν ὕστερος ὡς οὐ ἱκανός εἰμί ὁ ἀττικῆς ἀποικία ἐκπέμπω
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.1,δηλόω δέ ἐγώ καί ὅδε ὁ παλαιός ἀσθένεια οὐ ἥκιστος πρό γάρ ὁ τρωικῶν οὐδείς φαίνω πρότερος κοινός ἐργάζομαι ὁ ἑλλά
