term,locum_pars_flumen_oppidum_omnis_collis_pedum,res_omnis_consilium_cognosco_neo_video_habeo,omnis_res_hostis_magnus_locum_tantus_noster,finis_omnis_magnus_ager_oppidum_transeo_frumentum,mille_passus_circiter_dies_omnis_numerus_ito,navis_magnus_utor_omnis_pars_reliquus_tempus,hostis_noster_legio_proelium_pars_locum_magnus,legio_pars_mitto_caesar_lego_omnis_duo,castra_hostis_locum_caesar_equito_castrum_copia,facio_mitto_lego_impero_civitas_caesarem_res,oppidum_magnus_pars_murus_omnis_noster_munitio,civitas_omnis_populus_habeo_magnus_res_romani
omnis,0.015008709896981,0.0231617453087353,0.0218084413561894,0.0232664546681613,0.0219817939670204,0.0162182510221367,0.0075661725047005,0.0168150346191889,0.0139751227450186,0.0170490047308757,0.0185021236538052,0.0184199009459102
res,1.15362873919915e-05,0.0416278292678637,0.0184106057774531,0.00458313315488855,0.0041327420262793,0.010989930254201,0.00227338027956024,0.0119664087197688,0.0115306984767745,0.0178604756842729,0.00953683054475362,0.0134368649337256
magnus,0.0127014524185827,0.00997168533792934,0.0155790761285061,0.0202161164619127,1.37300399544163e-05,0.0266748925580082,0.011850813829814,0.0122896504463968,6.98406933784039e-06,8.11470953397223e-06,0.0201831161117524,0.0147367873716868
hostis,1.15362873919915e-05,5.86224887591378e-06,0.0164285350231902,7.62584551562155e-06,0.0130572679966499,1.04566415358715e-05,0.0332740204553818,0.00162267346767259,0.0307368891558355,0.00284826304642425,0.0162608003765423,4.33307479320401e-06
locum,0.0311595122457691,0.00264387424303711,0.0152959231636114,0.00992122501582363,1.37300399544163e-05,0.0125584264845817,0.0136150779048608,0.00162267346767259,0.0258480406193473,8.11470953397223e-06,1.12066163863145e-05,0.00455406160765741
facio,1.15362873919915e-05,0.00850612311895089,0.00680133421677058,0.0148780246009776,1.37300399544163e-05,1.04566415358715e-05,0.00983451202976062,0.0116431669931408,0.0108322915429904,0.0312497464153271,1.12066163863145e-05,0.00888713640086142
pars,0.0282754403977712,5.86224887591378e-06,0.00651818125187589,0.00572700998223178,1.37300399544163e-05,0.0156954189453431,0.0143711910798808,0.022310143971865,6.98406933784039e-06,8.11470953397223e-06,0.0190624544731209,0.00238752421105541
noster,1.15362873919915e-05,5.86224887591378e-06,0.0133138524093486,0.00458313315488855,1.37300399544163e-05,0.00210178494871017,0.0297454923052883,6.46483453256014e-06,0.0139751227450186,8.11470953397223e-06,0.0185021236538052,0.00325413916969621
legio,0.00231879376579029,0.00264387424303711,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,0.000533288718329447,0.0168915683299476,0.0423511310228015,0.0122291054105585,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
caesar,1.15362873919915e-05,0.00410943646201556,0.00453611049761302,0.0087773481884804,1.37300399544163e-05,1.04566415358715e-05,0.00151726710454021,0.018754484978957,0.0241020232848872,0.0174547402075743,1.12066163863145e-05,0.00347079290935641
