term,servus_bonus_dominus_domina_medicus_ancilla_video,urbs_miles_domus_pater_totus_neo_exercitus,urbs_romani_postquam_bellum_primus_chr_n,defendo_malus_finis_civitas_tandem_oppidum_subito,pugno_germanus_vir_nonne_bestia_harena_miser,deus_imperator_colo_agricola_ager_domus_romanus,facio_castra_legio_ito_exercitus_tempus_cognosco,amicus_lucius_marcus_video_alius_venio_campus,senatus_jubeo_aeneus_mors_periculum_tantus_filius,mercator_navis_pirata_ito_capio_italiae_alius,juvenis_alius_dominus_tonsor_servus_locus_ludo,romani_senator_publicus_consul_rex_populus_civis
romani,0.000105853710172542,0.00017102787754404,0.0764795658809564,0.000142918393597256,0.000138946783381965,0.0300706840781119,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.0678249780824101
servus,0.100666878374087,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.0209809642906767,0.0240805079669342,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.0478368591576139,7.97003267713398e-05
ito,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.0300706840781119,0.0403136624107771,0.024987541823877,0.000140904607580668,0.0463290749576728,0.000190585096245474,7.97003267713398e-05
video,0.0371546522705621,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.0252337388157233,0.046344415177618,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
bonus,0.0689107653223245,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.0359448473738742
deus,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.0899724451898886,0.000100532823967025,0.0107496262547163,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.0160197656810393
amicus,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0748202463159394,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
marcus,0.0371546522705621,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0499038940699082,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
alius,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.00728883807346005,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0285470207161672,0.000140904607580668,0.0386332153301524,0.0573661139698875,7.97003267713398e-05
imperator,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.0279283034597749,0.0899724451898886,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.00406471666533833
dominus,0.0636180798136975,0.00017102787754404,0.00864846532134984,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.0573661139698875,7.97003267713398e-05
facio,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.0287265971130484,0.000138946783381965,0.000119803522223553,0.0704735096008847,0.00363066847013597,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
urbs,0.000105853710172542,0.0600307850179579,0.0849584534509072,0.000142918393597256,0.000138946783381965,0.0121001557445789,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
lucius,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0605823307467787,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
agricola,0.031861966761935,0.00017102787754404,0.0171273528913007,0.000142918393597256,0.000138946783381965,0.0480412124116449,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
