term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
quod,0.000398565165404544,0.000259134490800726,0.0693813006523028,0.000237586124970302,0.145111934288935,0.000369139904023625,0.0727899800326738,0.0156489720773243,0.000485672656629432,0.00027708506511499,0.1957796014068,0.000273298715496037
se,0.000398565165404544,0.103912930811091,0.000197667523225934,0.0477548111190306,0.000161056530842326,0.000369139904023625,0.0455618079506262,0.000306842589751458,0.0733365711510442,0.027985591576614,0.000390777647518562,0.000273298715496037
a,0.000398565165404544,0.0520860326509458,0.0199644198458193,0.000237586124970302,0.0565308423256563,0.000369139904023625,0.00018152114721365,0.107701749002762,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
esse,0.0203268234356317,0.000259134490800726,0.0100810436845226,0.0715134236160608,0.0404251892414237,0.0557401255075674,0.0274096932292612,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
heluetii,0.000398565165404544,0.000259134490800726,0.0496145483297094,0.000237586124970302,0.0323723626993075,0.000369139904023625,0.00018152114721365,0.0309911015648972,0.000485672656629432,0.0141313383208645,0.000390777647518562,0.0412681060399016
ea,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.184939091915836,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.0199296600234467,0.0276031702650998
eo,0.000398565165404544,0.000259134490800726,0.0100810436845226,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.13881961762261,0.000390777647518562,0.0276031702650998
eius,0.000398565165404544,0.000259134490800726,0.0792646768135995,0.0358755048705156,0.000161056530842326,0.0188261351052049,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
fines,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.0806893219520051,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.0490529383195726,0.00027708506511499,0.000390777647518562,0.000273298715496037
sibi,0.000398565165404544,0.000259134490800726,0.0693813006523028,0.0121168923734854,0.000161056530842326,0.000369139904023625,0.0364857505899437,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
caesar,0.0402550817058589,0.000259134490800726,0.0891480529748962,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
eorum,0.000398565165404544,0.0391293081109096,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.0455618079506262,0.0309911015648972,0.000485672656629432,0.0141313383208645,0.000390777647518562,0.000273298715496037
heluetios,0.0402550817058589,0.000259134490800726,0.000197667523225934,0.0358755048705156,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.0156489720773243,0.000485672656629432,0.0695483513438626,0.000390777647518562,0.000273298715496037
flumen,0.0801115982463133,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.0274096932292612,0.0463332310524701,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
