identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.1,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.2,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.3,0.12378640776699,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.245145631067961,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.12378640776699
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.4,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.220394736842105,0.00109649122807018,0.00109649122807018,0.658991228070176,0.00109649122807018,0.00109649122807018,0.110745614035088,0.00109649122807018
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.5,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.98202614379085,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.6,0.476415094339623,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.7,0.385496183206107,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.576335877862595,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.1,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.96474358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.2,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.189265536723164,0.000941619585687382,0.236346516007533,0.565913370998117,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.55524861878453,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.5,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.6,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.1,0.00276243093922652,0.140883977900552,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.2,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.3,0.00123152709359606,0.00123152709359606,0.370689655172414,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.185960591133005,0.185960591133005,0.247536945812808
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.417127071823204,0.279005524861878
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.5,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.6,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.543290043290043,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.435064935064935
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.7,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.730582524271845,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.245145631067961,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.1,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.2,0.00140449438202247,0.633426966292135,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.3,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.969613259668508,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.4,0.00617283950617284,0.00617283950617284,0.314814814814815,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.623456790123457
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.1,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.487864077669903,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.2,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.3,0.00131233595800525,0.00131233595800525,0.0669291338582677,0.0669291338582677,0.00131233595800525,0.00131233595800525,0.39501312335958,0.460629921259843,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
