identifier,text
LatinumB:1.1,britannia insula sum gaius mercator sum marcus dominus sum syrus servus sum iulia domina sum herophilus medicus sum dominus intro domina intro servus laboro syrus laboro domina non laboro marcus ludo
LatinumB:1.2,dominus voco qui dominus voco dominus servus voco domina video qui domina video domina ancilla video quis dominus timeo syrus dominus timeo
LatinumB:1.3,medicus morbus curo agricola murus aedifico ancilla domina voco dominus syrus timeo servus laboro non amo domina ancilla quaero ubi sum phrygia
LatinumB:1.4,equus ad aula curro agricola in aula intro agricola murus circo aula aedifico marcus per aula curro
LatinumB:1.5,ancilla medicus voco medicus servus video medicus marcus curo iulia domina sum marcus servus non sum servus gaius quaero
LatinumB:2.1,herophilus medicus bonus sum medicus magnus villa intro parvus iulia aegroto sum medicus bonus parvus iuliam curo marcus orator bonus sum gaius orator bonus laudo gaius agricola bonus sum marcus agricola bonus laudo
LatinumB:2.2,lucius et marcus amicus bonus sum hodie lucius ad amicus venio domina et dominus amicus bonus video etiam valeria cornelia iulia amicus bonus sum iulia hodie amicus in magnus villa invito amicus libet venio iulia amicus bonus video et saluto etiam amicus saluto tum amicus ad mercator curro gaius et publius mercator bonus sum ito amicus mercator bonus saepis visito gaium et publium saluto
LatinumB:2.3,imperator romanus magnus triumphus ago hodie imperator et legio romam intro multus servus praeda in triumphus porto multus romani per via curro magnus imperator video victor laetus saluto saepis clamo io triumphus multus senator romani adsum orator magnus victor saluto tum imperator legio populus romanum senator romanos laudo senator romani imperator libet audio
LatinumB:3.1,theophemus mercator graecus sum multus urbs italiae visito nam saepis in italiam patrius populus romani et in asia provincia romanam navigo theophemus nomen multus populus asia et italiae et multus insula nosco theophemo magnus navis sum navis theophemi mercator multus merces capio theophemus multus divitiae comparo
LatinumB:3.2,navis graecorum saepis italiae appropinquo nam mercator graeci frumentum a-sum unguentum multus alius res in italiam importo et incolo italiae vendo merces incolo placeo ito mercator saepis magnus divitiae sum
LatinumB:3.3,interdum pirata navis mercator capio sed imperator romanus mercator bene consulo navis imperator vigilo et pirata opprimo ito mercator pirata non timeo
LatinumB:3.4,mercurius deus mercator sum ito post redeo mercurio deus et ceterus deus gratia ago
LatinumB:4.1,agricola romani vita magnus cum labor ago jam maneo dominus ex lego surgo et cum servus ancilla ad laboro propero domina cum ancilla in villa laboro dominus cum servus in vineus laboro servus vito pono alius servus cum ancilla oliva colligo et fiscina in aula porto tertio hora dominus cum syrus servus alius servus in silva propero servus magnus labor arbor caedo multus hora in silva laboro tum dominus cum servus sub arbor consido cibus recreo sed nona hora cunctus ex silva ad villa propero equus magnus arbor ex silva in aula traho tum servus alius locus laboro murus parvus aula circumdo tandem vesper familia labor libero cunctus in villa convenio domina cum servus ancilla familia cena bonus paro
LatinumB:5.1,primus hora multus romani in via sum etiam agricola ex vicis romam propero lucius marcus interrogo salve marcus cur jam maneo in via sum quis facio etiam tu romam in campus martium propero ito lucius in campus martium propero nam hodie popolus romanus consul novus creo ito ego domus non maneo civis romanus sum alius clamo quis tu puto amicus quis consul sum num metellus victor sum ignoro vicinus sed cunctus candido nos non placeo nam amicus mercator aut senator sum nos autem agricola aut faber sum candido parvus amicus agricola sum dico marcus qui tu bonus candidatus puto marcus respondeo ego quidem hortensis bonus candidatus puto metellus malus consul sum oro tu lucius venio ego oro tu cunctus amicus venio ego creo hortensis consul hortensis bonus consul sum
LatinumB:6.1,res publicus romana et asia provincia magnus in periculum sum mithridates rex enim magnus cum exercitus asia provincia invado jam multus romanos et socius populus romani neco tertio hora dies consul senator in curia voco nam salus res publicus consulo debeo romani in via sum et multus senator video romani cunctus senator in curia propero video magnus cum spes ante curia maneo multus autem interrogo num consul senator asia provincia ab mithridate servo diu homo ante curia sto tandem consul senator ex curia venio video consul ad populus oro et dico tu jam multus dies magnus in timor sum scio sed fides nos habeo nam nos consul tu res publicus semper consulo senatus l cornelium sullam in asia cum mithridate rex pugno jubeo sullam magnus bonus imperator sum consto periculum absum video spes habeo romani nunc causa timor non jam adsum audio multus laetus sum et gaudeo sed dico aliquis ego quidem neque consul neque senator fides habeo aliquis enim senator amicus mithridatis sum et pecunia ab rex accipio suspicor
