term,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
1,τις,0.00153037080006717,0.00622711490834113,0.0119114756432087,0.003381068714654,0.0204170900529674,0.0214989406481997,0.0146082071636631,0.00585798054752514,0.0148617826107908,0.0224044999926567,0.0109354897996692,0.0199851747182617,5.51638919229029e-06,0.00534669253024724
2,ἄλλος,0.00744576915444151,0.0237056962400313,0.0105426551831756,0.0334125173777484,0.0106506330534308,0.0178460034056615,0.00900659389904292,0.00878404475707815,0.0216883242045071,0.00771783988603152,0.0063407461863628,0.0107193736318466,0.0129690309910745,0.0145934705418201
3,πολύς,0.0120254323965378,0.0234094490988162,0.0162917011153149,6.74864014900997e-06,0.0128325011065188,0.0109616216793395,0.00600572965013924,0.0143435667552289,0.0327312591355189,7.34333005331258e-06,0.0103017320599028,0.0147731616071532,0.00607354450071161,0.00740153208837454
4,ὡς,0.0135519868105699,5.92494282430175e-06,0.018071167713358,0.0023687726923025,0.00997529294176075,0.0220609309932055,0.0240109151435613,0.0140509603342736,0.00783446038196508,0.0154283364420097,0.00475635183694681,0.00405957910098565,0.00855591963724225,0.0170592780115729
5,ὅς,0.0108805165860137,0.00652336204955622,0.00821566040111915,0.00574309276680749,0.0189105621115496,0.00801117236805872,0.00800630581607503,0.00439494844274863,0.0088383635575116,0.0179985019606691,0.00443947296706361,0.0237494064096179,0.0124173920718455,0.0147989544976328
6,ναῦς,0.0723243317508053,5.92494282430175e-06,2.73764092006636e-06,0.0324002213553969,1.03898478718475e-06,2.80995172502936e-06,4.00115233187158e-06,0.0160992052809607,0.0188773953129769,7.34333005331258e-06,3.16878869883198e-06,0.00174312882938186,5.51638919229029e-06,0.0634986520252499
7,πρός,0.01641427633688,0.0094858334617071,0.0117745935972054,6.74864014900997e-06,0.0115337701225379,0.0105401289205851,0.0092066515156365,0.00644319338943574,0.0122516343543698,7.34333005331258e-06,0.0193327798515739,0.0202747310022122,0.00552190558148258,0.00349733692793267
8,γίγνομαι,0.00839986566321157,0.00563462062591096,0.0112270654131921,6.74864014900997e-06,0.0102869883779162,0.0112426168518425,0.00900659389904292,0.00263930991701682,0.0146610019756814,0.0157955029446754,0.0175899460672163,0.00521780423678755,0.0286907401891018,0.00185346528143083
9,ἔχω,0.00744576915444151,0.0130407991562881,0.00999512699916228,0.00608052477425799,0.0116896178406156,0.00463923029802348,0.00720607534970071,0.0102470768618547,0.00783446038196508,0.00661634037803463,0.0118861264093188,0.0191165058664103,0.00993501693531482,0.00822346791162546
10,δ,0.0106896972842597,0.0118558105914278,0.0104057731371722,0.0202526690871789,0.00696223705892498,0.00758967960930431,0.0120074581479466,0.0128805346504524,0.00642899593619995,0.00588200737270337,0.00871733771048679,0.00956114849604466,0.00607354450071161,0.00966185560231457
11,πόλις,3.81638603508022e-06,0.0162995177096541,0.00780501426310919,6.74864014900997e-06,0.00768952640995431,0.0109616216793395,0.023210684677187,0.00673579981039104,0.00783446038196508,0.0154283364420097,0.00412259409718041,0.0162209430269056,5.51638919229029e-06,4.1096791162546e-06
12,πρότερος,0.00668249194742547,0.0130407991562881,0.0136909422412519,0.00439336473700549,0.00426087661224464,0.00927565064432193,0.00500544156717134,0.00410234202179333,0.013054756894807,0.006249173875369,0.0125198841490852,0.000295347409629484,0.0154514061276051,0.00390830483955813
13,σφεῖς,0.00305692521409926,0.00741210347320148,0.0130065320112353,6.74864014900997e-06,0.00187121160171973,0.0143335637493748,0.0198097051950962,5.85212841910603e-06,0.00723211847663717,0.00588200737270337,0.0177483855021579,0.00261179768123328,5.51638919229029e-06,0.00288088506049448
14,ἀθηναίων,0.00820904636145756,0.0103745748853524,0.00958448086115233,0.0270013092361889,1.03898478718475e-06,0.0094161482305734,0.0144081495470696,0.00702840623134634,4.0156127021861e-06,0.00221034234604709,0.00871733771048679,5.79112567900949e-06,0.0110382947737729,0.00883991977906365
15,ποιέω,0.00420184102462332,0.0047458792022657,2.73764092006636e-06,0.0030436367072035,0.0046245212877593,0.0098376409893278,0.00980682436541724,0.00556537412656983,0.00964148609794883,0.0088193393940284,0.0194912192865155,0.00666558565653992,0.00303953044495195,0.00637411230931089
16,ὅστις,3.81638603508022e-06,0.00533837348469587,0.00315102469899638,6.74864014900997e-06,0.0097674959843238,0.0163005299568953,0.00500544156717134,5.85212841910603e-06,0.00422040894999759,0.00661634037803463,0.0125198841490852,5.79112567900949e-06,5.51638919229029e-06,0.00657959626512362
17,σύμμαχος,0.00191200940357519,0.00889333917927692,0.00766813221710588,0.0185655090499264,0.00405307965480769,2.80995172502936e-06,0.00240469255145482,5.85212841910603e-06,0.00361806704466968,7.34333005331258e-06,0.0312157374721939,5.79112567900949e-06,0.0118657531526164,0.00390830483955813
18,πᾶς,3.81638603508022e-06,0.00681960919077131,0.00903695267713906,0.0131665969307185,0.00691028781956575,0.00576321098803523,0.00300486540123556,0.00556537412656983,0.0164680276916652,0.0139596704313472,0.00301351805258922,0.00319091024913423,5.51638919229029e-06,0.0057576604418727
19,ἀθηναῖοι,0.0129795289053078,0.00918958632049201,0.00931071676914569,0.013504028938169,0.000416632899661083,0.00562271340178376,0.00980682436541724,0.0225365465419773,4.0156127021861e-06,7.34333005331258e-06,0.0068160644911876,0.00782381079234182,0.0113141142333874,0.00185346528143083
20,πόλεμος,3.81638603508022e-06,0.00770835061441657,2.73764092006636e-06,0.002031340684852,0.00592325227174024,0.00154828340049118,0.0026047501680484,5.85212841910603e-06,0.0086375829224023,0.00147600934071583,0.0150549151081508,5.79112567900949e-06,0.0182096007237503,0.0016479813256181
21,βούλομαι,0.00305692521409926,5.92494282430175e-06,0.00356167083700634,6.74864014900997e-06,0.0036374857399338,0.0112426168518425,0.0126076309977273,5.85212841910603e-06,4.0156127021861e-06,0.00955367239935966,0.00808357997072039,5.79112567900949e-06,0.0038669888237955,0.00801798395581273
22,μέγας,0.00515593753339338,5.92494282430175e-06,0.00219285037697315,6.74864014900997e-06,0.00815706956418744,0.000424302710479434,4.00115233187158e-06,5.85212841910603e-06,0.0152633438810094,0.013225337426016,0.00206288144293962,0.0101402610639456,0.00469444720263904,4.1096791162546e-06
23,μᾶλλον,3.81638603508022e-06,0.00296839635497517,0.00369855288300965,6.74864014900997e-06,0.01002724218112,0.0063252013330411,4.00115233187158e-06,5.85212841910603e-06,0.0088383635575116,7.34333005331258e-06,0.00380571522729721,5.79112567900949e-06,5.51638919229029e-06,0.00411378879537086
24,ἅμα,0.00649167264567146,5.92494282430175e-06,0.0062993117570727,6.74864014900997e-06,0.00311799334634142,0.00393674236676614,0.00360503825101629,0.00351712917988272,0.00823602165218369,7.34333005331258e-06,0.00443947296706361,0.00666558565653992,0.00662518341994064,0.00883991977906365
25,πλέω,0.0143152640175859,0.00207965493132991,0.000960911962943293,0.00405593272955499,0.00368943497929303,0.00253176650425146,0.000204058768925451,0.00585798054752514,0.0102438280032767,7.34333005331258e-06,0.00032004765858203,5.79112567900949e-06,0.00221207206610841,0.0147989544976328
26,ὅσος,0.00477429892988536,0.00267214921376009,0.0032879067449997,6.74864014900997e-06,0.00457257204840007,0.00463923029802348,0.00320492301782913,5.85212841910603e-06,0.0116492924490419,0.013225337426016,0.00364727579235561,0.00608647308863897,5.51638919229029e-06,0.00185346528143083
27,δοκέω,3.81638603508022e-06,5.92494282430175e-06,0.00342478879100302,0.000344180647599509,0.00654664314405109,0.00829216754056165,0.00520549918376492,5.85212841910603e-06,0.008436802287293,0.0011088428380502,0.00348883635741401,5.79112567900949e-06,5.51638919229029e-06,0.00185346528143083
28,ἐκεῖνος,3.81638603508022e-06,0.000598419225254476,0.00315102469899638,6.74864014900997e-06,0.00561155683558481,0.00843266512681312,0.0026047501680484,0.00205409707510622,0.0088383635575116,0.0011088428380502,0.00539010957671321,0.0023222413972828,0.00110879422765035,4.1096791162546e-06
29,οὐδείς,0.00343856381760728,5.92494282430175e-06,0.00205596833096984,6.74864014900997e-06,0.0054557091175071,0.00969714340307633,0.0064058448833264,0.000298458549374407,0.00341728640956037,0.0088193393940284,0.00206288144293962,5.79112567900949e-06,5.51638919229029e-06,0.00226443319305629
30,μάλιστα,0.00362938311936129,0.0071158563319864,0.00191908628496652,0.010804572878565,0.00509206444199244,0.00773017719555578,4.00115233187158e-06,5.85212841910603e-06,0.00361806704466968,0.0036790083567096,3.16878869883198e-06,0.00811336707629229,5.51638919229029e-06,4.1096791162546e-06
31,ἀνήρ,0.00458347962813135,5.92494282430175e-06,2.73764092006636e-06,0.00574309276680749,0.00316994258570066,0.00618470374678963,0.00900659389904292,5.85212841910603e-06,4.0156127021861e-06,0.00955367239935966,0.005865427881538,0.0057969168046885,5.51638919229029e-06,0.00411378879537086
32,πάρειμι,0.000767093593051124,5.92494282430175e-06,0.0032879067449997,6.74864014900997e-06,0.00446867356968159,0.00590370857428669,0.00280480778464198,0.00322452275892742,0.00341728640956037,0.00918650589669403,0.00301351805258922,5.79112567900949e-06,5.51638919229029e-06,0.00925088769068911
33,νομίζω,0.00133955149831316,5.92494282430175e-06,0.00356167083700634,6.74864014900997e-06,0.00675444010148804,0.00281276167675439,0.00580567203354566,5.85212841910603e-06,0.00161026069357663,7.34333005331258e-06,0.00966797432013638,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
34,ἐπεί,0.00630085334391745,5.92494282430175e-06,0.00657307584907933,6.74864014900997e-06,0.00228680551659363,0.0067466940917955,0.00560561441695208,0.00673579981039104,0.00161026069357663,0.00257750884871271,0.00412259409718041,5.79112567900949e-06,0.00414280828341001,4.1096791162546e-06
35,ἄρχω,0.00343856381760728,5.92494282430175e-06,2.73764092006636e-06,0.010129708863664,0.00420892737288541,2.80995172502936e-06,4.00115233187158e-06,5.85212841910603e-06,4.0156127021861e-06,0.00514767436737212,0.00459791240200521,0.00637602937258944,0.0124173920718455,0.00822346791162546
36,ἔρχομαι,3.81638603508022e-06,0.000894666366469564,0.00164532219295988,0.0016939086774015,0.00254655171338981,0.00534171822928082,0.00460532633398419,0.00966186401994405,0.00703133784152786,7.34333005331258e-06,0.00491479127188841,0.000874459977530432,0.00221207206610841,0.00719604813256181
37,νῦν,3.81638603508022e-06,0.0136332934387183,2.73764092006636e-06,6.74864014900997e-06,0.00940385130880914,2.80995172502936e-06,4.00115233187158e-06,5.85212841910603e-06,0.00502353149043481,0.00441334136204086,3.16878869883198e-06,0.00290135396518375,5.51638919229029e-06,4.1096791162546e-06
38,καθίστημι,3.81638603508022e-06,0.00296839635497517,0.00465672720503288,6.74864014900997e-06,0.00509206444199244,0.00421773753926907,0.00380509586760987,0.00468755486370393,4.0156127021861e-06,7.34333005331258e-06,0.00158756313811482,0.0034804665330847,0.00993501693531482,4.1096791162546e-06
