identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.1,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.465303593556382,0.12453531598513,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.403345724907063,0.000619578686493185
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.2,0.00194552529182879,0.196498054474708,0.00194552529182879,0.00194552529182879,0.585603112840467,0.196498054474708,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00194552529182879
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.3,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.985776805251641,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.1,0.00122850122850123,0.36977886977887,0.00122850122850123,0.00122850122850123,0.308353808353808,0.00122850122850123,0.00122850122850123,0.00122850122850123,0.308353808353808,0.00122850122850123,0.00122850122850123,0.00122850122850123,0.00122850122850123,0.00122850122850123
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.2,0.000566893424036281,0.000566893424036281,0.000566893424036281,0.000566893424036281,0.198979591836735,0.000566893424036281,0.000566893424036281,0.000566893424036281,0.79421768707483,0.000566893424036281,0.000566893424036281,0.000566893424036281,0.000566893424036281,0.000566893424036281
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.3,0.00130890052356021,0.655759162303665,0.00130890052356021,0.00130890052356021,0.328534031413613,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021,0.00130890052356021
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.4,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.980421686746988,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.5,0.00318471337579618,0.480891719745223,0.00318471337579618,0.00318471337579618,0.321656050955414,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.162420382165605,0.00318471337579618
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.6,0.000600961538461538,0.120793269230769,0.000600961538461538,0.000600961538461538,0.661658653846154,0.000600961538461538,0.000600961538461538,0.000600961538461538,0.0606971153846154,0.000600961538461538,0.000600961538461538,0.000600961538461538,0.150841346153846,0.000600961538461538
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.1,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.897394136807818,0.0830618892508143,0.00162866449511401,0.00162866449511401,0.00162866449511401,0.00162866449511401
