term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
context,0.0170014502144466,0.0456280185078861,0.0259269584611096,6.28575020428688e-05,0.0352970038946303,0.0208885842843946,4.2718612499466e-05,0.0164483403920024,0.0392725528249635,0.0473212643527155,0.0123988837472182,0.0538908871951703,0.0233556545883012,0.0297211017347621,3.18887719633917e-05
february,3.08556265234966e-05,0.0219865581411057,0.002031144211239,0.00634860770632975,0.0276304087828514,2.97982657409339e-05,0.0128583023623393,0.0279391969532815,0.0501755380623215,0.0302425181954334,3.53244551202798e-05,0.0253688063509167,2.33323222660351e-05,0.0123982281174986,3.18887719633917e-05
cartoon,3.08556265234966e-05,3.37735148096863e-05,0.00999641562786252,0.0252058583191904,0.0245637707381398,0.0179087577103013,4.2718612499466e-05,0.0131652385173512,0.0338210602062845,2.62749940881263e-05,3.53244551202798e-05,0.0435912468903009,0.0245222707016029,0.0012620950778292,3.18887719633917e-05
earthquakes,3.08556265234966e-05,0.028741261103043,0.002031144211239,6.28575020428688e-05,0.0168971756263608,2.97982657409339e-05,0.0214020248622325,0.0230145441413047,2.1805970474716e-05,0.0315562678998397,0.0141651065032322,0.0332916065854316,2.33323222660351e-05,0.0111608800019798,3.18887719633917e-05
people,0.0247153568453207,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,0.0213729932039791,0.0436337469199067,0.0171050211513702,3.53244551202798e-05,0.0190305661633048,0.0210224223616977,2.47469623103764e-05,3.18887719633917e-05
man,3.08556265234966e-05,0.0354959640649802,0.0199530048986419,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,0.0148067894546768,0.0152859853027759,2.62749940881263e-05,0.0106326609912042,1.58456004690298e-05,0.0186891901350941,0.0185849686950927,0.0351095379316943
shows,3.08556265234966e-05,0.00847715221723125,0.00800509777370664,6.28575020428688e-05,0.0107638995369377,0.0134390178491612,4.2718612499466e-05,0.00331593289339768,0.0283695675876055,0.00528127381171339,3.53244551202798e-05,0.034083886608883,2.33323222660351e-05,0.016110272464055,3.18887719633917e-05
reads,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,0.00547329858915371,0.032870017604246,0.0106326609912042,0.035668446655786,2.33323222660351e-05,0.0247717092726868,0.00162632737013298
minister,0.0571137646949921,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,0.0506301941181882,0.0328078905807682,4.2718612499466e-05,3.28310187465117e-05,0.00111210449421051,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
september,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,0.0107638995369377,2.97982657409339e-05,0.0128583023623393,0.0148067894546768,0.0250986720163981,0.0144775217425576,3.53244551202798e-05,0.0221996862571107,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
