identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
DCDL-0017174,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.737423312883436,0.00122699386503067,0.00122699386503067,0.246625766871166,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067
DCDL-0017178,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.116763005780347,0.405780346820809,0.00115606936416185,0.116763005780347,0.347976878612717,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185
DCDL-0017205,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.246625766871166,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.737423312883436,0.00122699386503067,0.00122699386503067,0.00122699386503067
DCDL-0017185,0.000638977635782748,0.000638977635782748,0.192332268370607,0.000638977635782748,0.0325878594249201,0.000638977635782748,0.000638977635782748,0.735463258785942,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.0325878594249201,0.000638977635782748
DCDL-0017168,0.0336633663366337,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.825742574257426,0.00066006600660066,0.00066006600660066,0.132673267326733,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066
DCDL-0017305,0.000858369098712447,0.129613733905579,0.215450643776824,0.000858369098712447,0.000858369098712447,0.000858369098712447,0.430042918454936,0.000858369098712447,0.000858369098712447,0.000858369098712447,0.000858369098712447,0.000858369098712447,0.215450643776824,0.000858369098712447,0.000858369098712447
DCDL-0017190,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.161904761904762,0.00317460317460317,0.796825396825397,0.00317460317460317,0.00317460317460317,0.00317460317460317
DCDL-0017151,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.987443946188341,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085
DCDL-0017222,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.110382513661202,0.00109289617486339,0.00109289617486339,0.32896174863388,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.165027322404372,0.383606557377049,0.00109289617486339,0.00109289617486339
DCDL-0017244,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.702325581395349,0.237209302325581,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767
DCDL-0017202,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.479365079365079,0.00317460317460317,0.00317460317460317,0.479365079365079,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317
DCDL-0021187,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.0766917293233083,0.00150375939849624,0.52781954887218,0.377443609022556
DCDL-0017210,0.00109289617486339,0.00109289617486339,0.602185792349727,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.0557377049180328,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.32896174863388,0.00109289617486339,0.00109289617486339
DCDL-0017156,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.906172839506173,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.0831275720164609
DCDL-0017189,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.198029556650246,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.789162561576355
DCDL-0021186,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.98282208588957
DCDL-0017239,0.00068259385665529,0.205460750853242,0.00068259385665529,0.0348122866894198,0.00068259385665529,0.273720136518771,0.376109215017065,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.0348122866894198,0.0689419795221843,0.00068259385665529
