identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
DCDL-0028383,0.175510204081633,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.321282798833819,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.496209912536443,0.000583090379008746,0.000583090379008746,0.000583090379008746
DCDL-0028406,0.311917098445596,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.674611398963731,0.00103626943005181,0.00103626943005181,0.00103626943005181
DCDL-0028395,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.0297376093294461,0.000583090379008746,0.175510204081633,0.146355685131195,0.000583090379008746,0.000583090379008746,0.64198250728863,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746
DCDL-0028387,0.457034220532319,0.0768060836501901,0.114828897338403,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.342965779467681
DCDL-0028384,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.248297213622291,0.000619195046439629,0.000619195046439629,0.403095975232198,0.341176470588235,0.000619195046439629,0.000619195046439629,0.000619195046439629
DCDL-0021208,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.478498293515358,0.0348122866894198,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.478498293515358,0.00068259385665529,0.00068259385665529
DCDL-0021931,0.165432098765432,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.0419753086419753,0.782716049382716,0.000823045267489712,0.000823045267489712,0.000823045267489712
DCDL-0018121,0.0978557504873294,0.507212475633528,0.0198830409356725,0.000389863547758285,0.000389863547758285,0.156335282651072,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.214814814814815,0.000389863547758285
DCDL-0021174,0.000619195046439629,0.403095975232198,0.000619195046439629,0.588854489164087,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629
DCDL-0021705,0.116763005780347,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.347976878612717,0.00115606936416185,0.521387283236994,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185
DCDL-0021806,0.870355731225296,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.0403162055335968,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.0798418972332016,0.000790513833992095
DCDL-0021157,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.0348122866894198,0.00068259385665529,0.0348122866894198,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.922184300341297,0.00068259385665529,0.00068259385665529
DCDL-0021490,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.134584450402145,0.000536193029490617,0.402680965147453,0.322252010723861,0.000536193029490617,0.134584450402145,0.000536193029490617,0.000536193029490617,0.000536193029490617
DCDL-0021395,0.98282208588957,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067
DCDL-0021703,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.267256637168142,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.709734513274336,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478
DCDL-0021694,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.419011406844106,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.304942965779468,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.266920152091255,0.000760456273764259,0.000760456273764259
DCDL-0021411,0.328311057108141,0.000243013365735115,0.000243013365735115,0.000243013365735115,0.000243013365735115,0.000243013365735115,0.000243013365735115,0.000243013365735115,0.0366950182260024,0.0731470230862697,0.000243013365735115,0.376913730255164,0.121749696233293,0.000243013365735115,0.060996354799514
DCDL-0021935,0.000522193211488251,0.000522193211488251,0.000522193211488251,0.000522193211488251,0.000522193211488251,0.000522193211488251,0.000522193211488251,0.470496083550914,0.209399477806789,0.000522193211488251,0.287728459530026,0.0266318537859008,0.000522193211488251,0.000522193211488251,0.000522193211488251
DCDL-0019507,0.000315955766192733,0.000315955766192733,0.853396524486572,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.079304897314376,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.000315955766192733,0.0635071090047393
DCDL-0017270,0.000297176820208024,0.876968796433878,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.0894502228826152,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.000297176820208024,0.0300148588410104,0.000297176820208024,0.000297176820208024
DCDL-0021506,0.98282208588957,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067
DCDL-0016772,0.000361663652802893,0.560940325497288,0.000361663652802893,0.434358047016275,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893
DCDL-0021232,0.000600600600600601,0.000600600600600601,0.0306306306306306,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.390990990990991,0.210810810810811,0.000600600600600601,0.300900900900901,0.0606606606606607
DCDL-0021391,0.341176470588235,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.0315789473684211,0.000619195046439629,0.000619195046439629,0.557894736842105,0.000619195046439629,0.0315789473684211,0.0315789473684211,0.000619195046439629
DCDL-0021951,0.00041407867494824,0.22815734989648,0.00041407867494824,0.559420289855073,0.00041407867494824,0.00041407867494824,0.00041407867494824,0.00041407867494824,0.207453416149068,0.00041407867494824,0.00041407867494824,0.00041407867494824,0.00041407867494824,0.00041407867494824,0.00041407867494824
DCDL-0021180,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.0325878594249201,0.735463258785942,0.224281150159744,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748
DCDL-0021099,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0829268292682927,0.0016260162601626,0.0016260162601626,0.733333333333333,0.0016260162601626,0.164227642276423,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626
